"FAHHNFC_ACCOUNT","Rekening","FAHHNFC_SECTOR","Institutionele sector","FAHHNFC_INSTRUMENT","Financieel instrument","FREQUENCY","Frequentie","TIME","Periode","Value","Flag Codes","Flags"
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S1M","Particulieren (S.14 + S.15)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","A","Jaarlijks","2018","2018",-713,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S1M","Particulieren (S.14 + S.15)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","A","Jaarlijks","2019","2019",7751,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","1998-Q4","1998Q4",84893,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","1999-Q4","1999Q4",104863,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2000-Q4","2000Q4",130018,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","1999-Q3","1999Q3",100261,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2000-Q3","2000Q3",124144,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","1999-Q1","1999Q1",89745,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2001-Q1","2001Q1",133385,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2001-Q2","2001Q2",140417,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2002-Q2","2002Q2",148275,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2003-Q2","2003Q2",141185,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2003-Q3","2003Q3",141325,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2004-Q2","2004Q2",143470,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2004-Q3","2004Q3",144836,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2005-Q3","2005Q3",145445,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2006-Q3","2006Q3",151186,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2007-Q3","2007Q3",169576,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2007-Q4","2007Q4",173168,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2008-Q3","2008Q3",189648,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2008-Q4","2008Q4",200800,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2002-Q1","2002Q1",149491,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2003-Q1","2003Q1",140458,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2004-Q1","2004Q1",142851,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2005-Q1","2005Q1",145458,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2005-Q2","2005Q2",145264,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2006-Q2","2006Q2",149166,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2007-Q2","2007Q2",161296,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2008-Q2","2008Q2",185172,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2009-Q2","2009Q2",196709,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","1999-Q2","1999Q2",94717,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2000-Q1","2000Q1",111546,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2000-Q2","2000Q2",117610,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2001-Q3","2001Q3",144951,,
