time,num_actors,gdp,transactions,min_transaction,max_transaction,projected_expenses,projected_revenue,collected_tax,tax_scale,tax_brackets,failed_tax,collected_vat,failed_vat,debt
0,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000
12,10000,512207146.9632,100793,70.3511,142571.3909,261310140.0000,261743015.6260,261743015.6260,[1.4354] ,[(0..10190] - 0.0%] [(10190..15200] - 36.0%] [(15200..26830] - 56.99999999999999%] [(26830..46440] - 65.0%] [(46440..) - 72.0%] ,0,0.0000,0,525743155.0000
24,10000,517316614.7765,88530,9.7665,126134.9458,261310140.0000,261456736.9374,261456736.9374,[1.4602] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 57.99999999999999%] [(26830..46440] - 66.0%] [(46440..) - 73.0%] ,0,0.0000,0,525743155.0000
36,10000,522512121.2496,87097,0.4122,121572.2936,261310140.0000,260754338.5257,260754338.5257,[1.4465] ,[(0..10190] - 0.0%] [(10190..15200] - 36.0%] [(15200..26830] - 57.99999999999999%] [(26830..46440] - 65.0%] [(46440..) - 72.0%] ,0,0.0000,0,525743155.0000
48,10000,527773118.3483,88169,0.6345,129538.6501,261310140.0000,261361074.4078,261361074.4078,[1.4227] ,[(0..10190] - 0.0%] [(10190..15200] - 36.0%] [(15200..26830] - 56.99999999999999%] [(26830..46440] - 64.0%] [(46440..) - 71.0%] ,0,0.0000,0,525743155.0000
60,10000,533045953.5690,88203,1.1914,118551.2169,261310140.0000,260738709.2459,260738709.2459,[1.4031] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 56.00000000000001%] [(26830..46440] - 63.0%] [(46440..) - 70.0%] ,0,0.0000,0,525743155.0000
72,10000,538525981.5406,88536,2.1935,162781.2817,261310140.0000,260328744.6459,260328744.6459,[1.3848] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 55.00000000000001%] [(26830..46440] - 62.0%] [(46440..) - 69.0%] ,0,0.0000,0,525743155.0000
84,10000,543812199.0715,90075,1.3767,156059.7862,261310140.0000,260388745.0226,260388745.0226,[1.3666] ,[(0..10190] - 0.0%] [(10190..15200] - 34.0%] [(15200..26830] - 55.00000000000001%] [(26830..46440] - 61.0%] [(46440..) - 68.0%] ,0,0.0000,0,525743155.0000
96,10000,549292313.2217,91199,2.8628,156233.4484,261310140.0000,261209658.8025,261209658.8025,[1.3482] ,[(0..10190] - 0.0%] [(10190..15200] - 34.0%] [(15200..26830] - 54.0%] [(26830..46440] - 61.0%] [(46440..) - 67.0%] ,0,0.0000,0,525743155.0000
108,10000,554833787.5287,91984,1.7798,178808.6826,261310140.0000,261892978.6548,261892978.6548,[1.3309] ,[(0..10190] - 0.0%] [(10190..15200] - 33.0%] [(15200..26830] - 53.0%] [(26830..46440] - 60.0%] [(46440..) - 67.0%] ,0,0.0000,0,525743155.0000
120,10000,560405920.3041,93620,4.3378,173926.1328,261310140.0000,262368560.6617,262368560.6617,[1.3131] ,[(0..10190] - 0.0%] [(10190..15200] - 33.0%] [(15200..26830] - 53.0%] [(26830..46440] - 59.0%] [(46440..) - 66.0%] ,0,0.0000,0,525743155.0000
132,10000,566017526.7404,96188,1.1214,112470.8756,261310140.0000,261246667.9603,261246667.9603,[1.2960] ,[(0..10190] - 0.0%] [(10190..15200] - 32.0%] [(15200..26830] - 52.0%] [(26830..46440] - 57.99999999999999%] [(46440..) - 65.0%] ,0,0.0000,0,525743155.0000
