cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,-0.0167,-0.1669,-0.0302,7.6615,7.6916,40.1626,52.1759,14.9696,3.5104
12,0.0022,0.0670,1.5483,16.7754,15.2271,41.3664,41.8582,11.4276,2.4578
24,-0.0356,-0.1132,1.0607,17.7478,16.6871,43.6309,38.6213,11.1987,2.4081
36,-0.0228,-0.0770,1.0467,17.4177,16.3710,44.4183,38.1639,11.4380,2.5848
48,-0.0286,-0.1141,0.9774,17.4939,16.5165,44.7025,37.8035,11.5511,2.6577
60,-0.0318,-0.0926,1.0728,17.6340,16.5612,44.7393,37.6267,11.8855,2.7889
72,-0.0400,-0.1250,0.9962,17.7870,16.7908,44.8062,37.4068,12.0025,2.9318
84,-0.0283,-0.0849,1.0532,17.6634,16.6102,44.8122,37.5244,12.2037,3.0814
96,-0.0298,-0.1045,1.0473,17.6912,16.6439,44.9561,37.3527,12.5731,3.2770
108,-0.0297,-0.0955,1.0489,17.6394,16.5905,44.7273,37.6333,12.8576,3.4317
120,-0.0339,-0.1179,0.9347,17.2231,16.2884,44.5821,38.1948,13.4702,3.7777
132,-0.0272,-0.1003,0.9406,16.7868,15.8462,44.5600,38.6532,13.7260,3.8490
144,-0.0304,-0.1114,0.9102,16.6579,15.7476,44.1700,39.1721,14.2530,4.0873
156,-0.0277,-0.1127,0.8610,16.3665,15.5055,43.7803,39.8532,14.8749,4.3136
168,-0.0301,-0.0992,0.8178,15.9205,15.1027,43.6220,40.4574,15.4506,4.5005
180,-0.0299,-0.1079,0.7474,15.5702,14.8228,42.8506,41.5793,16.0464,4.7632
192,-0.0330,-0.1457,0.7215,15.6346,14.9131,42.7877,41.5777,16.5655,4.9002
204,-0.0335,-0.1231,0.7508,15.2143,14.4636,42.5890,42.1966,17.4243,5.1448
216,-0.0357,-0.1390,0.6552,14.7646,14.1094,42.0527,43.1827,18.2260,5.4723
228,-0.0312,-0.1187,0.6501,14.5780,13.9279,41.2788,44.1432,19.2113,5.6969
240,-0.0381,-0.1318,0.5900,14.0952,13.5052,40.7071,45.1977,20.2890,5.9798
252,-0.0338,-0.1494,0.5861,13.7190,13.1329,40.3494,45.9316,21.3269,6.3587
264,-0.0320,-0.1476,0.4904,13.1985,12.7081,39.8496,46.9519,22.3251,6.5317
276,-0.0302,-0.1477,0.4207,12.7576,12.3369,39.0523,48.1901,23.4627,6.8150
288,-0.0351,-0.1586,0.3577,12.4068,12.0491,38.8050,48.7883,24.5857,7.2503
300,-0.0363,-0.1532,0.3692,12.1090,11.7398,38.0482,49.8428,25.5920,7.6095
312,-0.0424,-0.1867,0.2487,11.5110,11.2623,37.2644,51.2246,26.7763,7.7154
324,-0.0354,-0.1541,0.2803,11.2760,10.9957,36.3061,52.4179,28.2241,8.2329
336,-0.0416,-0.1805,0.1745,10.7488,10.5743,35.6731,53.5781,29.5996,8.3607
348,-0.0356,-0.1921,0.0853,10.2298,10.1446,34.9284,54.8418,31.1860,8.9907
360,-0.0462,-0.2052,0.0397,9.6901,9.6504,34.1847,56.1252,32.6254,9.0887
372,-0.0411,-0.2112,-0.0251,9.2451,9.2702,33.3377,57.4172,34.2969,9.6909
384,-0.0385,-0.2053,-0.0709,8.7226,8.7935,32.3157,58.9618,35.9550,10.0398
396,-0.0450,-0.2362,-0.1656,8.1514,8.3170,31.0099,60.8387,37.8367,10.4377
408,-0.0421,-0.2358,-0.2551,7.6836,7.9388,29.9103,62.4061,39.5868,10.9904
420,-0.0378,-0.2360,-0.3372,7.0366,7.3738,29.1982,63.7651,41.5627,11.2660
432,-0.0481,-0.2673,-0.4575,6.3799,6.8375,28.2092,65.4109,43.5377,12.1005
