cycle,wealth_gini
0,0.6099
12,0.5225
24,0.5005
36,0.5014
48,0.5003
60,0.4975
72,0.4953
84,0.4969
96,0.497
108,0.4976
120,0.5058
132,0.5124
144,0.5164
156,0.5226
168,0.5302
180,0.5401
192,0.5393
204,0.5469
216,0.5561
228,0.5632
240,0.5733
252,0.581
264,0.5914
276,0.6024
288,0.6092
300,0.6176
312,0.631
324,0.6393
336,0.6505
348,0.6626
360,0.6743
372,0.686
384,0.6988
396,0.7149
408,0.7271
420,0.7411
432,0.7562
444,0.7663
456,0.782
468,0.7984
480,0.8113
492,0.8266
504,0.8441
516,0.8641
528,0.8771
540,0.8943
552,0.9157
564,0.9309
576,0.9473
588,0.9642
600,0.9722
612,0.9924
624,1.0171
636,1.0419
648,1.0685
660,1.0935
672,1.1287
684,1.166
696,1.1749
708,1.1923
720,1.195
732,1.2167
744,1.2348
756,1.26
768,1.2733
780,1.2923
792,1.3109
804,1.3343
816,1.3396
828,1.3648
840,1.3792
852,1.4108
864,1.4279
876,1.4577
888,1.4677
900,1.4855
912,1.524
924,1.5221
936,1.5456
948,1.5763
960,1.6047
972,1.6377
984,1.6423
996,1.6641
1008,1.7197
1020,1.748
1032,1.7487
1044,1.8006
1056,1.8252
1068,1.869
1080,1.9063
1092,1.9658
1104,2.0222
1116,2.0646
1128,2.1313
1140,2.2135
1152,2.3211
1164,2.437
1176,2.5364
1188,2.6399
1200,2.7459
