cycle,money_stock
0,576188734.7160
12,576314472.5001
24,576443064.7915
36,576540277.5563
48,576615268.6202
60,576672095.6681
72,576714187.6663
84,576746953.6537
96,576774804.3837
108,576796463.4743
120,576812492.9111
132,576824870.9820
144,576833456.2537
156,576840890.2292
168,576847706.7602
180,576853188.6354
192,576855901.3325
204,576856004.9951
216,576857245.8244
228,576859776.5073
240,576862538.7225
252,576864658.4907
264,576865895.0112
276,576866877.2875
288,576867349.4424
300,576866381.3475
312,576866479.3068
324,576867459.7083
336,576867443.0747
348,576867164.2937
360,576867100.2048
372,576866126.6674
384,576865243.7023
396,576866413.9022
408,576867385.0838
420,576866944.7946
432,576866636.1184
444,576867366.6971
456,576867226.7547
468,576867027.8347
480,576867424.5257
492,576866843.2494
504,576867305.4263
516,576868313.3539
528,576868658.7546
540,576868717.4841
552,576867950.8142
564,576868606.3982
576,576869043.0662
588,576868774.3356
600,576869167.8264
612,576869583.7612
624,576869650.1197
636,576870188.8603
648,576871127.7093
660,576871180.2099
672,576870841.2163
684,576870798.0844
696,576870978.9206
708,576870688.0629
720,576870327.1379
732,576870867.6135
744,576869827.8823
756,576868050.5205
768,576868175.5722
780,576868267.2501
792,576866830.6102
804,576865401.0378
816,576865624.6160
828,576866984.6757
840,576867101.0200
852,576865764.2333
864,576864582.1790
876,576863255.5016
888,576864226.0917
900,576865123.5051
912,576864562.3050
924,576864573.6077
936,576865503.2347
948,576865081.0468
960,576864081.4527
972,576863755.9590
984,576863678.9746
996,576864208.0979
1008,576863019.2401
1020,576860360.5982
1032,576857998.2709
1044,576857855.9822
1056,576859645.7247
1068,576859007.2708
1080,576858089.8171
1092,576858585.1100
1104,576858020.7013
1116,576856638.2286
1128,576856182.5786
1140,576857810.5091
1152,576857247.1769
1164,576854071.3247
1176,576852672.3359
1188,576852983.9197
1200,576851774.2811
