cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
768,-0.0061,0.0359,1.4373,18.9000,17.4626,49.4602,31.6399,5.2389,0.7139
780,-0.0055,0.0380,1.3907,18.6163,17.2256,49.5808,31.8029,5.2157,0.7144
792,-0.0094,0.0242,1.3550,18.3625,17.0075,49.5276,32.1099,5.3443,0.6698
804,-0.0073,0.0272,1.3482,18.2389,16.8906,49.3018,32.4593,5.3699,0.6841
816,-0.0051,0.0325,1.3273,18.3476,17.0203,49.2458,32.4066,5.4529,0.7379
828,-0.0012,0.0384,1.3240,17.9067,16.5827,48.9783,33.1150,5.5091,0.7245
840,-0.0091,0.0198,1.2709,17.7587,16.4878,49.0547,33.1865,5.5814,0.7327
852,-0.0058,0.0296,1.2632,17.5933,16.3301,48.8477,33.5590,5.8652,0.7824
864,-0.0129,0.0112,1.2076,17.2069,15.9993,48.6122,34.1809,5.8164,0.7886
876,-0.0075,0.0151,1.1979,17.0822,15.8843,48.4890,34.4287,5.9247,0.8357
888,-0.0051,0.0245,1.1617,16.9446,15.7829,48.7652,34.2902,5.9903,0.8489
900,-0.0085,0.0177,1.1744,16.9042,15.7297,48.8349,34.2609,5.9307,0.8256
912,-0.0082,0.0130,1.1177,16.6128,15.4951,48.5140,34.8732,6.0521,0.8010
924,-0.0071,0.0188,1.1415,16.5055,15.3641,48.7557,34.7388,6.0311,0.7984
936,-0.0048,0.0216,1.1316,16.4495,15.3178,48.1725,35.3780,6.1682,0.8460
948,-0.0101,0.0168,1.1319,16.1391,15.0072,48.3521,35.5087,6.3483,0.9198
960,-0.0085,0.0131,1.0784,16.0076,14.9292,47.6527,36.3398,6.4768,0.9229
972,-0.0085,0.0088,1.0884,15.9748,14.8864,47.5496,36.4755,6.6400,0.9563
984,-0.0068,0.0176,1.0457,15.6045,14.5588,48.0629,36.3326,6.6514,0.9438
996,-0.0083,0.0121,1.0338,15.4077,14.3739,47.8675,36.7249,6.6675,0.9307
1008,-0.0101,0.0117,1.0185,15.4035,14.3850,47.1926,37.4039,6.8726,1.0148
1020,-0.0125,0.0012,1.0046,15.2491,14.2445,47.2520,37.4989,6.9614,1.0397
1032,-0.0109,-0.0096,0.9471,14.9952,14.0481,47.6696,37.3352,6.8872,1.0050
1044,-0.0064,0.0139,0.9776,14.7177,13.7401,47.3352,37.9471,7.0556,0.9730
1056,-0.0083,0.0066,0.9382,14.4698,13.5316,46.8117,38.7185,7.3449,1.0644
1068,-0.0112,-0.0050,0.8721,14.2854,13.4133,46.9609,38.7537,7.6460,1.0880
1080,-0.0096,0.0035,0.9170,14.2096,13.2925,46.4924,39.2980,7.4846,1.1084
1092,-0.0088,-0.0005,0.8544,14.0360,13.1816,46.2659,39.6982,7.7494,1.1326
1104,-0.0113,-0.0022,0.8481,13.7727,12.9246,46.1063,40.1210,7.9808,1.1703
1116,-0.0114,-0.0074,0.8188,13.7105,12.8917,45.6772,40.6123,8.2911,1.2630
1128,-0.0102,0.0012,0.8181,13.1334,12.3152,45.1707,41.6959,8.6658,1.3343
1140,-0.0063,0.0053,0.8047,12.8915,12.0869,44.5597,42.5488,9.2695,1.4104
1152,-0.0124,-0.0144,0.7445,12.6978,11.9533,44.7788,42.5234,9.4837,1.4440
1164,-0.0136,-0.0193,0.7018,12.2305,11.5287,44.5664,43.2030,9.7122,1.5539
1176,-0.0080,-0.0048,0.7275,12.2491,11.5216,43.9125,43.8384,10.0656,1.6782
1188,-0.0117,-0.0118,0.6818,12.0258,11.3440,44.1408,43.8333,10.2500,1.7430
1200,-0.0110,-0.0154,0.6560,11.7446,11.0886,43.1823,45.0732,10.8078,1.8499
