time,num_actors,gdp,transactions,min_transaction,max_transaction,projected_expenses,projected_revenue,collected_tax,tax_scale,tax_brackets,failed_tax,collected_vat,failed_vat,debt,total_gi_collector!,total_demurrage_collector!
0,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,0.0000,0.0000
12,10000,512229722.0554,89277,38.4447,137147.9732,250158240.0000,250697652.4170,250697652.4170,[1.3742] ,[(0..10190] - 0.0%] [(10190..15200] - 34.0%] [(15200..26830] - 55.00000000000001%] [(26830..46440] - 62.0%] [(46440..) - 69.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149400262.2159
24,10000,517348890.0807,71709,50.7725,83462.8555,250158240.0000,248796688.7789,248796688.7789,[1.4077] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 56.00000000000001%] [(26830..46440] - 63.0%] [(46440..) - 70.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149397407.7086
36,10000,522511682.9439,68811,110.0249,51138.6782,250158240.0000,251824766.5071,251824766.5071,[1.3907] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 56.00000000000001%] [(26830..46440] - 63.0%] [(46440..) - 70.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149428787.2352
48,10000,527779863.7959,68237,17.3046,51702.5996,250158240.0000,249946095.2260,249946095.2260,[1.3700] ,[(0..10190] - 0.0%] [(10190..15200] - 34.0%] [(15200..26830] - 55.00000000000001%] [(26830..46440] - 62.0%] [(46440..) - 68.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149451008.9361
60,10000,533066840.4128,67990,17.7629,41621.1581,250158240.0000,251189748.7272,251189748.7272,[1.3509] ,[(0..10190] - 0.0%] [(10190..15200] - 34.0%] [(15200..26830] - 54.0%] [(26830..46440] - 61.0%] [(46440..) - 68.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149469172.9521
72,10000,538450144.5165,67809,16.2067,43481.3287,250158240.0000,250265134.8310,250265134.8310,[1.3329] ,[(0..10190] - 0.0%] [(10190..15200] - 33.0%] [(15200..26830] - 53.0%] [(26830..46440] - 60.0%] [(46440..) - 67.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149483908.0018
84,10000,543856235.2726,68161,3.5744,35306.8800,250158240.0000,250875182.7290,250875182.7290,[1.3146] ,[(0..10190] - 0.0%] [(10190..15200] - 33.0%] [(15200..26830] - 53.0%] [(26830..46440] - 59.0%] [(46440..) - 66.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149493234.0126
96,10000,549310276.1864,69385,17.9538,34002.3979,250158240.0000,249748620.2000,249748620.2000,[1.2975] ,[(0..10190] - 0.0%] [(10190..15200] - 32.0%] [(15200..26830] - 52.0%] [(26830..46440] - 57.99999999999999%] [(46440..) - 65.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149498149.2700
108,10000,554827717.9245,69932,17.1597,43225.1942,250158240.0000,250472240.0364,250472240.0364,[1.2800] ,[(0..10190] - 0.0%] [(10190..15200] - 32.0%] [(15200..26830] - 51.0%] [(26830..46440] - 57.99999999999999%] [(46440..) - 64.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149504340.9094
120,10000,560379882.1352,70615,10.9340,39233.1968,250158240.0000,250691149.2292,250691149.2292,[1.2636] ,[(0..10190] - 0.0%] [(10190..15200] - 32.0%] [(15200..26830] - 51.0%] [(26830..46440] - 56.99999999999999%] [(46440..) - 63.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149509970.5632
132,10000,566017925.7209,71629,4.7591,40803.4091,250158240.0000,249516465.5909,249516465.5909,[1.2466] ,[(0..10190] - 0.0%] [(10190..15200] - 31.0%] [(15200..26830] - 50.0%] [(26830..46440] - 56.00000000000001%] [(46440..) - 62.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149513621.9291
144,10000,571696157.8998,72347,6.4056,44756.5425,250158240.0000,250481688.5670,250481688.5670,[1.2301] ,[(0..10190] - 0.0%] [(10190..15200] - 31.0%] [(15200..26830] - 49.0%] [(26830..46440] - 55.00000000000001%] [(46440..) - 62.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149517414.7283
156,10000,577464043.8453,73430,2.2580,34941.1285,250158240.0000,251668578.3135,251668578.3135,[1.2132] ,[(0..10190] - 0.0%] [(10190..15200] - 30.0%] [(15200..26830] - 49.0%] [(26830..46440] - 55.00000000000001%] [(46440..) - 61.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149518566.0245
168,10000,583264381.3012,74130,2.7968,35921.1483,250158240.0000,250549841.3787,250549841.3787,[1.1981] ,[(0..10190] - 0.0%] [(10190..15200] - 30.0%] [(15200..26830] - 48.0%] [(26830..46440] - 54.0%] [(46440..) - 60.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149519183.4690
180,10000,589134019.4207,74987,12.0992,33564.6738,250158240.0000,249550784.6302,249550784.6302,[1.1824] ,[(0..10190] - 0.0%] [(10190..15200] - 30.0%] [(15200..26830] - 47.0%] [(26830..46440] - 53.0%] [(46440..) - 59.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149520518.1248
192,10000,595028154.8612,75929,20.6782,34015.8842,250158240.0000,249183710.8166,249183710.8166,[1.1662] ,[(0..10190] - 0.0%] [(10190..15200] - 28.999999999999996%] [(15200..26830] - 47.0%] [(26830..46440] - 52.0%] [(46440..) - 57.99999999999999%] ,0,0.0000,0,525743155.0000,149526000.0000,149523287.3029
204,10000,601006407.4873,77093,4.1239,43094.4123,250158240.0000,251550540.3779,251550540.3779,[1.1504] ,[(0..10190] - 0.0%] [(10190..15200] - 28.999999999999996%] [(15200..26830] - 46.0%] [(26830..46440] - 52.0%] [(46440..) - 57.99999999999999%] ,0,0.0000,0,525743155.0000,149526000.0000,149525896.3374
