time,num_actors,gdp,transactions,min_transaction,max_transaction,projected_expenses,projected_revenue,collected_tax,tax_scale,tax_brackets,failed_tax,collected_vat,failed_vat,debt
156,10000,509810375.9179,103712,548.8427,384537.3764,250158240.0000,250165477.8262,250165477.8262,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
168,10000,509805555.7493,104936,588.5653,700306.7915,250158240.0000,250160398.8174,250160398.8174,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
180,10000,509833265.3597,107005,394.1410,404114.4886,250158240.0000,250177059.1244,250177059.1244,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
192,10000,509823144.8220,107998,542.2702,287536.8426,250158240.0000,250169932.6466,250169932.6466,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
204,10000,509832958.3463,109704,494.3435,417466.0619,250158240.0000,250172492.7908,250172492.7908,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
216,10000,509823701.9440,112015,424.7776,275015.7158,250158240.0000,250171916.3662,250171916.3662,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
228,10000,509896195.1758,114263,438.9469,479006.5949,250158240.0000,250206686.6989,250206686.6989,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
240,10000,509834833.6799,117165,418.4192,841161.6293,250158240.0000,250174371.0407,250174371.0407,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
252,10000,509842242.4128,119720,457.2457,555808.6550,250158240.0000,250182098.0543,250182098.0543,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
264,10000,509856042.7228,121681,486.3609,788116.0238,250158240.0000,250183107.5503,250183107.5503,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
