cycle,wealth_gini
0,0.6099
12,0.5743
24,0.5569
36,0.5527
48,0.5518
60,0.5524
72,0.549
84,0.5509
96,0.5558
108,0.5576
120,0.5644
132,0.5717
144,0.5755
156,0.5824
168,0.5881
180,0.5947
192,0.5987
204,0.6059
216,0.6134
228,0.6226
240,0.631
252,0.6389
264,0.6428
276,0.6493
288,0.6579
300,0.6628
312,0.6686
324,0.6752
336,0.6841
348,0.6912
360,0.7
372,0.7058
384,0.7137
396,0.7226
408,0.7271
420,0.7327
432,0.7381
444,0.7442
456,0.7524
468,0.7596
480,0.7641
492,0.771
504,0.7743
516,0.7789
528,0.7815
540,0.7875
552,0.7875
564,0.7916
576,0.7976
588,0.8035
600,0.8034
612,0.8101
624,0.814
636,0.8176
648,0.8207
660,0.8259
672,0.8302
684,0.8307
696,0.8358
708,0.8396
720,0.8415
732,0.8419
744,0.8455
756,0.8488
768,0.8487
780,0.8513
792,0.8546
804,0.8516
816,0.8563
828,0.8584
840,0.8616
852,0.8651
864,0.8669
876,0.8705
888,0.8719
900,0.8771
912,0.8735
924,0.8749
936,0.8774
948,0.8763
960,0.8756
972,0.8817
984,0.883
996,0.8828
1008,0.8806
1020,0.8832
1032,0.8838
1044,0.8785
1056,0.8826
1068,0.8847
1080,0.8891
1092,0.8889
1104,0.8833
1116,0.8831
1128,0.8871
1140,0.8885
1152,0.8919
1164,0.893
1176,0.887
1188,0.8911
1200,0.8905
