cycle,income_gini
0,NaN
12,0.385
24,0.331
36,0.3255
48,0.3171
60,0.3167
72,0.319
84,0.3112
96,0.3134
108,0.3107
120,0.3088
132,0.3103
144,0.3074
156,0.3051
168,0.3089
180,0.3057
192,0.3057
204,0.3029
216,0.305
228,0.2995
240,0.2993
252,0.2942
264,0.2996
276,0.2976
288,0.29
300,0.2983
312,0.2946
324,0.295
336,0.2892
348,0.2902
360,0.2851
372,0.287
384,0.2854
396,0.2797
408,0.2868
420,0.2825
432,0.2782
444,0.2756
456,0.2738
468,0.2727
480,0.276
492,0.2702
504,0.2795
516,0.2672
528,0.2752
540,0.265
552,0.2771
564,0.2688
576,0.2604
588,0.2616
600,0.2711
612,0.2583
624,0.2563
636,0.2629
648,0.2596
660,0.2565
672,0.2548
684,0.2597
696,0.2515
708,0.2547
720,0.2563
732,0.2561
744,0.2515
756,0.2481
768,0.2548
780,0.25
792,0.2453
804,0.2571
816,0.242
828,0.247
840,0.2422
852,0.2408
864,0.2427
876,0.2372
888,0.2446
900,0.2326
912,0.25
924,0.2382
936,0.2394
948,0.2381
960,0.2441
972,0.2257
984,0.2379
996,0.237
1008,0.2423
1020,0.2315
1032,0.2328
1044,0.2473
1056,0.2234
1068,0.232
1080,0.2238
1092,0.2326
1104,0.248
1116,0.2323
1128,0.2254
1140,0.2305
1152,0.2269
1164,0.2255
1176,0.2442
1188,0.2244
1200,0.2316
