cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,-0.0167,-0.1669,-0.0302,7.6615,7.6916,40.1626,52.1759,14.9696,3.5104
12,0.0033,0.0597,1.1754,13.4698,12.2944,40.3618,46.1684,13.2316,3.1526
24,0.0048,0.0777,1.4138,15.4513,14.0375,42.3395,42.2092,11.5065,2.6657
36,0.0059,0.0873,1.5230,16.5016,14.9786,43.8602,39.6382,10.1843,2.3436
48,0.0057,0.0884,1.5953,17.2363,15.6410,45.2114,37.5523,9.1841,2.0082
60,0.0064,0.0898,1.6534,18.0904,16.4370,46.0362,35.8734,8.0900,1.7362
72,0.0069,0.0949,1.6720,18.3619,16.6899,46.8547,34.7834,7.4028,1.4983
84,0.0069,0.0948,1.6844,18.7082,17.0238,47.6309,33.6609,6.6568,1.2849
96,0.0065,0.0980,1.7421,18.8630,17.1209,48.0563,33.0806,6.1922,1.1037
108,0.0065,0.0998,1.7745,19.1152,17.3407,48.1003,32.7846,6.0629,1.0262
120,0.0065,0.0979,1.7619,19.0768,17.3149,48.5500,32.3732,5.8356,0.9790
132,0.0073,0.0987,1.7617,19.1836,17.4219,48.5039,32.3125,5.7433,0.9060
144,0.0062,0.0967,1.7642,19.3509,17.5868,48.6486,32.0004,5.5382,0.8204
156,0.0067,0.1002,1.7968,19.4474,17.6506,48.6248,31.9278,5.3149,0.7673
168,0.0068,0.1025,1.8019,19.5374,17.7355,48.6079,31.8547,5.2641,0.7206
180,0.0057,0.0933,1.7606,19.4532,17.6926,48.7234,31.8234,5.1042,0.6464
192,0.0069,0.1008,1.7747,19.2931,17.5183,49.2588,31.4481,5.0636,0.6470
204,0.0068,0.0991,1.7369,19.3306,17.5937,48.9631,31.7063,5.0743,0.6757
216,0.0067,0.0984,1.7586,19.3704,17.6118,49.2041,31.4255,5.1111,0.6794
228,0.0067,0.1044,1.8210,19.8059,17.9849,49.1127,31.0814,5.0753,0.6698
240,0.0066,0.0967,1.7918,19.5442,17.7524,49.1287,31.3270,5.0295,0.6367
252,0.0070,0.1010,1.7872,19.5960,17.8089,49.3697,31.0343,4.9621,0.6433
264,0.0070,0.0993,1.7859,19.5474,17.7615,49.6139,30.8386,4.9738,0.6463
