cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.0001,0.0229,1.6407,21.2096,19.5689,50.1246,28.6657,4.9755,0.7894
24,0.0039,0.0985,2.1449,23.8606,21.7157,49.6415,26.4979,4.3863,0.6198
36,0.0035,0.0881,2.1667,24.5786,22.4118,49.7819,25.6396,4.0729,0.5566
48,0.0030,0.0881,2.1771,24.4740,22.2968,50.0427,25.4833,3.9227,0.5271
60,0.0025,0.0903,2.1577,24.5086,22.3509,50.4081,25.0833,3.8112,0.4943
72,0.0019,0.0809,2.0894,24.5290,22.4395,50.2368,25.2342,3.7880,0.4918
84,0.0018,0.0800,2.0945,24.6303,22.5359,50.4086,24.9610,3.6970,0.4737
96,0.0006,0.0786,2.0846,24.4542,22.3696,50.4692,25.0766,3.7683,0.4979
108,0.0010,0.0745,2.0840,24.3289,22.2450,50.6309,25.0402,3.7291,0.5104
120,0.0030,0.0848,2.0969,24.6098,22.5129,50.2468,25.1434,3.8636,0.5107
132,0.0003,0.0739,2.0748,24.5563,22.4815,50.1851,25.2586,3.8300,0.4843
144,0.0021,0.0741,2.0719,24.6291,22.5572,50.5321,24.8387,3.6845,0.5005
156,0.0011,0.0733,2.0645,24.5776,22.5131,50.7119,24.7104,3.6223,0.4816
168,0.0021,0.0802,2.1252,24.6629,22.5377,50.6618,24.6753,3.5813,0.4522
180,0.0026,0.0811,2.0589,24.6364,22.5775,50.3821,24.9814,3.6618,0.4969
192,0.0014,0.0770,2.0368,24.5181,22.4813,50.7021,24.7798,3.6625,0.4969
204,0.0021,0.0784,2.0483,24.5367,22.4884,50.2344,25.2289,3.7462,0.4917
216,0.0012,0.0772,2.0396,24.3796,22.3400,50.8117,24.8087,3.6930,0.5180
