cycle,money_stock
0,576188734.7160
12,576271869.0164
24,576410902.7643
36,576517886.4635
48,576600208.2800
60,576663553.2820
72,576712295.9785
84,576749802.5165
96,576778663.0269
108,576800870.6338
120,576817958.9284
132,576831108.0299
144,576841226.0043
156,576849011.5896
168,576855002.4316
180,576859612.2574
192,576863159.4372
204,576865888.9213
216,576867989.2089
228,576869605.3482
240,576870848.9181
252,576871805.8352
264,576872542.1421
276,576873108.7132
288,576873544.6904
300,576873880.1709
312,576874138.3146
324,576874336.9390
336,576874489.7784
348,576874607.4097
360,576874697.9035
372,576874767.5430
384,576874821.1263
396,576874862.3517
408,576874894.0746
420,576874918.4894
432,576874937.2673
444,576874951.7320
456,576874962.8661
468,576874971.4282
480,576874978.0021
492,576874983.0883
504,576874986.9937
516,576874989.9901
528,576874992.3067
540,576874994.0822
552,576874995.4556
564,576874996.5017
576,576874997.3072
588,576874997.9273
600,576874998.4003
612,576874998.7664
624,576874999.0394
636,576874999.2657
648,576874999.4470
660,576874999.5780
672,576874999.6830
684,576874999.7500
696,576874999.8132
708,576874999.8572
720,576874999.8862
732,576874999.9070
744,576874999.9202
756,576874999.9442
768,576874999.9557
780,576874999.9575
792,576874999.9745
804,576874999.9869
816,576875000.0017
828,576874999.9991
840,576874999.9978
852,576874999.9938
864,576874999.9853
876,576874999.9903
888,576874999.9812
900,576874999.9858
912,576874999.9869
924,576874999.9842
936,576874999.9875
948,576874999.9846
960,576874999.9795
972,576874999.9756
984,576874999.9780
996,576874999.9809
1008,576874999.9833
1020,576874999.9860
1032,576875000.0015
1044,576875000.0220
1056,576875000.0226
1068,576874999.9981
1080,576874999.9991
1092,576874999.9922
1104,576875000.0076
1116,576874999.9945
1128,576874999.9978
1140,576875000.0017
1152,576874999.9993
1164,576875000.0053
1176,576875000.0002
1188,576875000.0020
1200,576874999.9996
