time,num_actors,gdp,transactions,min_transaction,max_transaction,projected_expenses,projected_revenue,collected_tax,tax_scale,tax_brackets,failed_tax,collected_vat,failed_vat,debt,total_gi_collector!,total_demurrage_collector!
0,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,0.0000,0.0000
12,10000,509853377.0732,107396,34.7886,144770.8423,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149442865.6996
24,10000,509840031.3081,98368,349.7648,134183.7347,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149386966.2521
36,10000,509850936.9742,92518,437.5795,108846.0540,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149419016.3008
48,10000,509825473.4737,88643,502.4191,99907.7454,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149443678.1835
60,10000,509881696.0590,85411,448.1685,90986.2574,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149462654.9980
72,10000,509833201.9843,83538,476.1334,84255.6027,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149477257.3035
84,10000,509835095.8946,82373,463.7996,75164.1458,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149488493.4620
96,10000,509835981.4135,80983,409.7136,85645.7983,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149497139.4896
108,10000,509829939.6794,80714,503.7160,74181.8656,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149503792.3931
120,10000,509866784.2966,80130,432.3412,80217.4731,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149508911.7054
132,10000,509808563.8775,80432,462.1248,91185.4816,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149512850.8985
144,10000,509816913.9288,79602,449.1970,95509.6483,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149515882.0256
156,10000,509839485.9607,79140,519.9873,68079.6166,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149518214.4147
168,10000,509822243.6059,79278,563.4677,56058.2780,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149520009.1580
180,10000,509822921.9949,79401,320.3013,59100.1924,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149521390.1742
192,10000,509853162.4831,79300,410.9863,60344.0022,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149522452.8202
204,10000,509830699.8204,79806,616.7044,52755.1264,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149523270.5159
216,10000,509866017.5958,79597,447.5399,59593.6661,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149523899.7124
228,10000,509818110.9910,78462,631.3800,65677.1462,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149524383.8607
240,10000,509855272.6010,78588,587.1733,53805.5201,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149524756.4301
252,10000,509825580.8384,78906,564.1260,64216.0569,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,149526000.0000,149525043.0829
