cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.0043,0.1093,2.5093,25.9944,23.4852,49.2043,24.8013,4.0824,0.5899
24,0.0027,0.1015,2.6746,28.5047,25.8301,49.6853,21.8100,3.0978,0.4001
36,0.0000,0.0842,2.5483,28.3812,25.8329,49.9900,21.6288,2.9891,0.3746
48,0.0000,0.0705,2.5426,28.5517,26.0090,50.0784,21.3699,2.9158,0.3505
60,0.0000,0.0751,2.5343,28.2800,25.7457,50.2174,21.5026,2.8939,0.3540
72,0.0000,0.0751,2.5167,28.3339,25.8172,50.1839,21.4822,2.9776,0.3652
84,0.0000,0.0752,2.5679,28.5885,26.0206,49.9972,21.4143,2.9243,0.3431
96,0.0000,0.0739,2.5304,28.4278,25.8974,50.2073,21.3649,2.9351,0.3405
108,0.0009,0.0910,2.5878,28.4627,25.8749,50.1825,21.3547,2.9658,0.3628
120,0.0000,0.0800,2.5883,28.5240,25.9357,50.1783,21.2977,2.9198,0.3746
132,0.0000,0.0843,2.5978,28.6363,26.0385,50.0293,21.3345,2.9229,0.3457
144,0.0000,0.0851,2.6463,28.5771,25.9308,49.9871,21.4358,2.9106,0.3597
156,0.0000,0.0840,2.6442,28.8560,26.2118,50.0026,21.1414,2.9169,0.3606
168,0.0000,0.0830,2.6421,28.8908,26.2487,49.9553,21.1539,2.8737,0.3577
180,0.0000,0.0935,2.6752,28.8840,26.2088,49.7731,21.3430,2.9457,0.3545
192,0.0006,0.0915,2.6741,28.7524,26.0783,49.9957,21.2519,2.8623,0.3643
204,0.0008,0.1019,2.7072,28.7959,26.0887,50.0191,21.1850,2.8617,0.3496
216,0.0010,0.1036,2.7332,28.9693,26.2361,49.8787,21.1521,2.9400,0.3652
228,0.0000,0.0988,2.7329,28.9637,26.2308,49.8083,21.2279,2.8849,0.3475
240,0.0028,0.1064,2.8213,29.1378,26.3165,49.8526,21.0096,2.8495,0.3635
252,0.0010,0.1034,2.7968,29.1177,26.3209,49.8086,21.0737,2.8050,0.3329
264,0.0020,0.1091,2.8115,29.1361,26.3246,49.9376,20.9263,2.8531,0.3556
276,0.0033,0.1173,2.7933,29.0073,26.2140,49.7971,21.1956,2.8650,0.3425
288,0.0043,0.1206,2.8180,29.1942,26.3762,49.8166,20.9892,2.8853,0.3535
300,0.0043,0.1154,2.8411,29.2022,26.3611,49.9191,20.8787,2.9061,0.3672
312,0.0025,0.1104,2.7694,29.2131,26.4437,49.8508,20.9361,2.7948,0.3246
324,0.0025,0.1159,2.8539,29.1804,26.3265,49.7182,21.1014,2.8868,0.3516
336,0.0033,0.1166,2.8121,29.1027,26.2906,49.8192,21.0781,2.9415,0.3789
348,0.0031,0.1076,2.7194,29.0758,26.3564,49.9268,20.9975,2.8547,0.3449
360,0.0051,0.1290,2.8859,29.3341,26.4482,49.7580,20.9079,2.8293,0.3409
372,0.0046,0.1175,2.8616,29.2507,26.3892,49.8026,20.9467,2.8578,0.3427
384,0.0035,0.1211,2.8175,29.1751,26.3576,49.6374,21.1875,2.8715,0.3594
396,0.0046,0.1243,2.9512,29.3677,26.4165,49.5941,21.0382,2.9099,0.3602
408,0.0041,0.1243,2.8756,29.2852,26.4096,49.8048,20.9100,2.8458,0.3446
420,0.0042,0.1244,2.9100,29.2679,26.3578,49.9017,20.8304,2.7805,0.3281
432,0.0047,0.1275,2.9320,29.4998,26.5678,49.5417,20.9585,2.8372,0.3475
444,0.0041,0.1401,2.9170,29.1060,26.1890,49.9511,20.9429,2.8839,0.3591
456,0.0044,0.1355,2.9457,29.2089,26.2631,49.8754,20.9157,2.8388,0.3297
468,0.0061,0.1371,2.9383,29.5178,26.5794,49.5303,20.9519,2.8292,0.3391
480,0.0059,0.1385,2.9612,29.1989,26.2377,49.7018,21.0994,2.8388,0.3324
492,0.0056,0.1247,2.8606,29.3905,26.5299,49.7391,20.8704,2.7809,0.3202
504,0.0051,0.1336,2.9800,29.4972,26.5172,49.5128,20.9901,2.8868,0.3604
516,0.0081,0.1524,3.0197,29.5433,26.5236,49.5096,20.9471,2.8286,0.3408
528,0.0059,0.1361,3.0018,29.5597,26.5579,49.4589,20.9814,2.8777,0.3658
540,0.0061,0.1409,3.0177,29.5134,26.4957,49.5090,20.9776,2.8759,0.3523
552,0.0057,0.1357,2.9399,29.6333,26.6933,49.6099,20.7569,2.7836,0.3469
564,0.0062,0.1375,2.9352,29.1337,26.1986,49.9665,20.8998,2.8578,0.3508
576,0.0070,0.1499,3.0599,29.7125,26.6527,49.4475,20.8399,2.7976,0.3434
588,0.0072,0.1443,3.0371,29.5766,26.5396,49.6683,20.7551,2.8040,0.3426
600,0.0076,0.1434,3.0101,29.5315,26.5214,49.4917,20.9768,2.8519,0.3538
612,0.0080,0.1408,2.9885,29.5249,26.5365,49.6858,20.7893,2.8394,0.3535
624,0.0071,0.1382,3.0286,29.4396,26.4110,49.9132,20.6472,2.7540,0.3273
636,0.0077,0.1479,3.0342,29.6742,26.6400,49.5885,20.7373,2.8180,0.3538
648,0.0094,0.1506,3.0621,29.5909,26.5288,49.4184,20.9908,2.8574,0.3402
660,0.0081,0.1609,3.0829,29.8234,26.7405,49.3602,20.8164,2.8318,0.3511
672,0.0077,0.1620,3.0912,29.5182,26.4270,49.5660,20.9158,2.8443,0.3405
684,0.0076,0.1506,3.0751,29.5403,26.4652,49.5915,20.8682,2.7617,0.3281
696,0.0097,0.1559,3.0205,29.4131,26.3926,49.7005,20.8864,2.7976,0.3424
708,0.0079,0.1575,3.0650,29.4865,26.4215,49.7383,20.7752,2.7867,0.3356
720,0.0096,0.1649,3.0579,29.6112,26.5533,49.6050,20.7838,2.8113,0.3323
732,0.0078,0.1566,3.0598,29.4277,26.3679,49.7148,20.8575,2.8071,0.3468
744,0.0081,0.1555,3.0608,29.4439,26.3831,49.6425,20.9136,2.8049,0.3556
756,0.0075,0.1600,3.1165,29.6500,26.5335,49.5674,20.7826,2.8002,0.3462
768,0.0097,0.1667,3.0935,29.5041,26.4106,49.7756,20.7203,2.7731,0.3396
780,0.0090,0.1633,3.1450,29.4138,26.2688,49.5670,21.0192,2.8194,0.3460
792,0.0098,0.1604,3.0706,29.7054,26.6348,49.5336,20.7609,2.7177,0.3217
804,0.0101,0.1619,3.0956,29.4815,26.3859,49.5603,20.9583,2.8771,0.3622
