cycle,wealth_gini
0,0.6099
12,0.4063
24,0.3213
36,0.2886
48,0.2797
60,0.2761
72,0.276
84,0.2763
96,0.2772
108,0.2796
120,0.2799
132,0.2841
144,0.2842
156,0.2849
168,0.2838
180,0.286
192,0.2893
204,0.291
216,0.2898
228,0.2943
240,0.295
252,0.295
264,0.2962
276,0.3
288,0.3021
300,0.3021
312,0.3057
324,0.3068
336,0.3093
348,0.3098
360,0.3102
372,0.3099
384,0.3135
396,0.3152
408,0.3165
420,0.3181
432,0.3224
444,0.3261
456,0.3259
468,0.3235
480,0.3283
492,0.327
504,0.3291
516,0.331
528,0.3319
540,0.336
552,0.3372
564,0.3379
576,0.3402
588,0.3424
600,0.3427
612,0.3438
624,0.3449
636,0.3484
648,0.3489
660,0.3506
672,0.3537
684,0.3557
696,0.3558
708,0.3606
720,0.3582
732,0.3641
744,0.365
756,0.3669
768,0.3674
780,0.3723
792,0.3715
804,0.3711
816,0.373
828,0.3769
840,0.3784
852,0.3793
864,0.3856
876,0.3851
888,0.387
900,0.387
912,0.3927
924,0.3941
936,0.3934
948,0.3977
960,0.4008
972,0.404
984,0.403
996,0.4014
1008,0.4078
1020,0.4146
1032,0.4129
1044,0.4132
1056,0.4143
1068,0.4204
1080,0.4217
1092,0.4262
1104,0.4255
1116,0.4276
1128,0.4268
1140,0.4305
1152,0.4341
1164,0.4362
1176,0.4368
1188,0.439
1200,0.4453
