cycle,money_stock
0,576188734.7160
12,576314904.7326
24,576443791.1263
36,576543193.3912
48,576619681.4365
60,576678537.4894
72,576723826.0254
84,576758671.4452
96,576785487.5242
108,576805953.9601
120,576821735.4323
132,576834013.9887
144,576843374.8518
156,576850404.2421
168,576856074.0564
180,576860436.8594
192,576863782.0452
204,576866324.4687
216,576868202.8324
228,576869735.7743
240,576870891.6606
252,576871838.7057
264,576872567.4388
276,576873128.1946
288,576873541.2417
300,576873811.5936
312,576874085.5502
324,576874296.3544
336,576874371.9334
348,576874311.2862
360,576874470.0483
372,576874592.2263
384,576874686.2217
396,576874758.5424
408,576874754.0012
420,576874641.8816
432,576874653.7716
444,576874733.5765
456,576874756.0907
468,576874617.4605
480,576874702.0992
492,576874770.7649
504,576874801.1398
516,576874754.5987
528,576874811.1705
540,576874846.4941
552,576874881.8868
564,576874804.4573
576,576874720.5287
588,576874705.5922
600,576874493.4945
612,576874586.2055
624,576874677.8826
636,576874752.1185
648,576874809.2622
660,576874853.2436
672,576874887.0880
684,576874901.4987
696,576874924.1970
708,576874941.6758
720,576874955.1227
732,576874964.3787
744,576874951.6350
756,576874962.7964
768,576874971.3690
780,576874935.6609
792,576874950.5088
804,576874939.1171
816,576874953.1517
828,576874873.4865
840,576874902.6493
852,576874925.0888
864,576874670.5561
876,576874369.5786
888,576874514.8873
900,576874626.7155
912,576874691.9464
924,576874762.9423
936,576874817.5911
948,576874855.2369
960,576874843.5926
972,576874857.2232
984,576874789.1586
996,576874825.3200
1008,576874829.5172
1020,576874868.8375
1032,576874899.0688
1044,576874922.3380
1056,576874905.8428
1068,576874775.1427
1080,576874826.9619
1092,576874865.5527
1104,576874847.7075
1116,576874833.1248
1128,576874824.2693
1140,576874864.7819
1152,576874849.5698
1164,576874884.2508
1176,576874910.9187
1188,576874856.8195
1200,576874708.4396
