time,num_actors,gdp,transactions,min_transaction,max_transaction,projected_expenses,projected_revenue,collected_tax,tax_scale,tax_brackets,failed_tax,collected_vat,failed_vat,debt,total_gi,total_demurrage
0,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,0.0000,0.0000
12,10000,509815513.0946,101120,65.4310,134238.1439,261310140.0000,261678405.6020,261678405.6020,[1.0000] ,[(0..) - 45.35%] ,0,0.0000,0,525743155.0000,149526000.0000,149399829.9834
24,10000,509806074.7273,92407,308.7396,93628.7941,261310140.0000,259350029.0694,259350029.0694,[0.9998] ,[(0..) - 45.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149397113.6063
36,10000,509851883.4954,90845,399.4684,83411.7577,261310140.0000,259403897.3599,259403897.3599,[0.9996] ,[(0..) - 45.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149426597.7351
48,10000,509837844.5427,90816,149.4482,78390.9472,261310140.0000,259447662.1841,259447662.1841,[0.9994] ,[(0..) - 45.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149449511.9547
60,10000,509844010.9722,91083,188.3703,80732.2111,261310140.0000,259481338.3412,259481338.3412,[0.9993] ,[(0..) - 45.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149467143.9471
72,10000,509832690.5047,90669,44.8280,76843.4803,261310140.0000,259507251.4913,259507251.4913,[0.9992] ,[(0..) - 45.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149480711.4640
84,10000,509873865.3264,90507,316.8217,85313.5096,261310140.0000,259527189.2883,259527189.2883,[0.9991] ,[(0..) - 45.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149491154.5802
96,10000,509818963.1378,90531,140.8403,77310.4919,261310140.0000,259542532.8683,259542532.8683,[0.9990] ,[(0..) - 45.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149499183.9210
108,10000,509838183.9286,90408,175.3022,74876.9803,261310140.0000,259556298.1877,259556298.1877,[0.9990] ,[(0..) - 45.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149505533.5641
120,10000,509841938.1307,90818,226.4569,91112.6547,261310140.0000,259565278.8554,259565278.8554,[0.9990] ,[(0..) - 45.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149510218.5278
132,10000,509850751.2949,90378,159.7373,83687.6813,261310140.0000,259570298.6791,259570298.6791,[0.9989] ,[(0..) - 45.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149513721.4436
144,10000,509826635.5551,90205,181.2430,80689.8620,261310140.0000,259575699.7011,259575699.7011,[0.9989] ,[(0..) - 45.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149516639.1369
