cycle,income_gini
0,NaN
12,0.4058
24,0.4585
36,0.4424
48,0.4478
60,0.4479
72,0.4482
84,0.4488
96,0.4505
108,0.4499
120,0.4469
132,0.4467
144,0.4491
156,0.4491
168,0.4467
180,0.4501
192,0.4478
204,0.446
216,0.4476
228,0.4486
240,0.4499
252,0.449
264,0.4485
276,0.45
288,0.4466
300,0.4462
312,0.453
324,0.4484
336,0.4492
348,0.4468
360,0.4508
372,0.4499
384,0.4526
396,0.4493
408,0.4503
420,0.448
432,0.4458
444,0.4489
456,0.4475
468,0.4493
480,0.4528
492,0.4458
504,0.448
516,0.4465
528,0.4445
540,0.4446
552,0.4482
564,0.4497
576,0.4455
588,0.4514
600,0.4478
612,0.4465
624,0.4502
636,0.4477
648,0.4503
660,0.4501
672,0.4471
684,0.4499
696,0.4483
708,0.4493
720,0.4504
732,0.4486
744,0.4513
756,0.4488
768,0.4478
780,0.4504
792,0.4467
804,0.4457
816,0.4527
828,0.4479
840,0.4501
852,0.4461
864,0.4481
876,0.4457
888,0.4498
900,0.4494
912,0.4475
924,0.4501
936,0.449
948,0.45
960,0.4503
972,0.4487
984,0.4502
996,0.4479
1008,0.4491
1020,0.4519
1032,0.4475
1044,0.4467
1056,0.4503
1068,0.4456
1080,0.4476
1092,0.449
1104,0.4495
1116,0.4439
1128,0.4485
1140,0.4475
1152,0.4516
1164,0.4464
1176,0.449
1188,0.4478
1200,0.4482
