time,num_actors,gdp,transactions,min_transaction,max_transaction,projected_expenses,projected_revenue,collected_tax,tax_scale,tax_brackets,failed_tax,collected_vat,failed_vat,debt
0,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000
12,10000,507493056.2070,99925,126.9544,142571.3909,261310140.0000,261743015.6260,261743015.6260,[1.4354] ,[(0..10190] - 0.0%] [(10190..15200] - 36.0%] [(15200..26830] - 56.99999999999999%] [(26830..46440] - 65.0%] [(46440..) - 72.0%] ,0,0.0000,0,525743155.0000
24,10000,502465843.0061,85990,7.8774,69504.4276,261310140.0000,261779033.5450,261779033.5450,[1.4788] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000
36,10000,497453806.6099,81948,1.5551,109777.4327,261310140.0000,261242489.0503,261242489.0503,[1.5051] ,[(0..10190] - 0.0%] [(10190..15200] - 38.0%] [(15200..26830] - 60.0%] [(26830..46440] - 68.0%] [(46440..) - 75.0%] ,0,0.0000,0,525743155.0000
48,10000,492490842.9200,80521,0.3978,133266.6068,261310140.0000,261048250.1581,261048250.1581,[1.5200] ,[(0..10190] - 0.0%] [(10190..15200] - 38.0%] [(15200..26830] - 61.0%] [(26830..46440] - 68.0%] [(46440..) - 76.0%] ,0,0.0000,0,525743155.0000
60,10000,487624669.3455,78470,4.9013,141958.4902,261310140.0000,261376186.7646,261376186.7646,[1.5412] ,[(0..10190] - 0.0%] [(10190..15200] - 39.0%] [(15200..26830] - 62.0%] [(26830..46440] - 69.0%] [(46440..) - 77.0%] ,0,0.0000,0,525743155.0000
72,10000,482746244.9664,77344,0.1624,153454.0101,261310140.0000,260869804.4031,260869804.4031,[1.5647] ,[(0..10190] - 0.0%] [(10190..15200] - 39.0%] [(15200..26830] - 63.0%] [(26830..46440] - 70.0%] [(46440..) - 78.0%] ,0,0.0000,0,525743155.0000
84,10000,477961834.2416,75589,1.0509,139635.6689,261310140.0000,260339837.0482,260339837.0482,[1.5855] ,[(0..10190] - 0.0%] [(10190..15200] - 40.0%] [(15200..26830] - 63.0%] [(26830..46440] - 71.0%] [(46440..) - 79.0%] ,0,0.0000,0,525743155.0000
96,10000,473164678.1481,74548,1.9146,167149.2280,261310140.0000,259904998.7862,259904998.7862,[1.6087] ,[(0..10190] - 0.0%] [(10190..15200] - 40.0%] [(15200..26830] - 64.0%] [(26830..46440] - 72.0%] [(46440..) - 80.0%] ,0,0.0000,0,525743155.0000
108,10000,468474852.4758,73346,1.3682,102049.7056,261310140.0000,260420178.5164,260420178.5164,[1.6288] ,[(0..10190] - 0.0%] [(10190..15200] - 41.0%] [(15200..26830] - 65.0%] [(26830..46440] - 73.0%] [(46440..) - 81.0%] ,0,0.0000,0,525743155.0000
120,10000,463798620.7986,72294,8.7937,158568.2062,261310140.0000,260985223.3131,260985223.3131,[1.6534] ,[(0..10190] - 0.0%] [(10190..15200] - 41.0%] [(15200..26830] - 66.0%] [(26830..46440] - 74.0%] [(46440..) - 83.0%] ,0,0.0000,0,525743155.0000
132,10000,459217233.9672,71404,5.9141,112809.8679,261310140.0000,260971710.8541,260971710.8541,[1.6768] ,[(0..10190] - 0.0%] [(10190..15200] - 42.0%] [(15200..26830] - 67.0%] [(26830..46440] - 75.0%] [(46440..) - 84.0%] ,0,0.0000,0,525743155.0000
144,10000,454631375.1205,70284,4.7586,172323.1334,261310140.0000,260726615.8041,260726615.8041,[1.6988] ,[(0..10190] - 0.0%] [(10190..15200] - 42.0%] [(15200..26830] - 68.0%] [(26830..46440] - 76.0%] [(46440..) - 85.0%] ,0,0.0000,0,525743155.0000
156,10000,450082553.0071,69075,1.9987,116269.0179,261310140.0000,260786855.2270,260786855.2270,[1.7219] ,[(0..10190] - 0.0%] [(10190..15200] - 43.0%] [(15200..26830] - 69.0%] [(26830..46440] - 77.0%] [(46440..) - 86.0%] ,0,0.0000,0,525743155.0000
168,10000,445610901.2949,68704,8.4844,167967.4672,261310140.0000,261418843.6687,261418843.6687,[1.7481] ,[(0..10190] - 0.0%] [(10190..15200] - 44.0%] [(15200..26830] - 70.0%] [(26830..46440] - 79.0%] [(46440..) - 87.0%] ,0,0.0000,0,525743155.0000
180,10000,441176090.8628,67405,1.5164,172403.6577,261310140.0000,262178701.5857,262178701.5857,[1.7707] ,[(0..10190] - 0.0%] [(10190..15200] - 44.0%] [(15200..26830] - 71.0%] [(26830..46440] - 80.0%] [(46440..) - 89.0%] ,0,0.0000,0,525743155.0000
192,10000,436791325.8171,65988,0.8801,264268.1583,261310140.0000,261917849.6732,261917849.6732,[1.7958] ,[(0..10190] - 0.0%] [(10190..15200] - 45.0%] [(15200..26830] - 72.0%] [(26830..46440] - 81.0%] [(46440..) - 90.0%] ,0,0.0000,0,525743155.0000
