cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.7236,29.4448,28.7212,46.6612,23.8940,5.4947,1.3672
24,0.0045,0.1753,4.1811,33.7430,29.5619,46.7625,19.4945,2.8872,0.3887
36,0.0032,0.1368,4.2259,35.2768,31.0509,46.8480,17.8752,2.4469,0.3100
48,0.0000,0.0926,3.8574,34.7495,30.8921,47.3245,17.9260,2.3912,0.2944
60,0.0001,0.1104,3.9372,34.9920,31.0548,47.3729,17.6351,2.3867,0.3334
72,0.0000,0.1024,4.0937,35.6021,31.5085,47.0355,17.3624,2.3087,0.3043
84,0.0002,0.1216,4.0796,35.7177,31.6381,47.2657,17.0166,2.2196,0.2721
96,0.0000,0.1048,4.1697,36.1709,32.0012,47.0139,16.8151,2.2472,0.2995
108,0.0000,0.0976,4.0491,36.2381,32.1890,47.0266,16.7353,2.2384,0.3157
120,0.0000,0.0959,4.2076,36.9573,32.7497,46.9047,16.1380,2.0353,0.2455
132,0.0000,0.0964,4.2735,37.2555,32.9820,46.8622,15.8822,2.0258,0.2516
144,0.0000,0.0837,4.2412,37.4663,33.2251,46.8463,15.6874,1.9609,0.2403
156,0.0000,0.0903,4.1676,37.7422,33.5746,46.8599,15.3979,1.8930,0.2310
168,0.0000,0.1080,4.4166,38.3426,33.9260,46.4829,15.1745,1.8607,0.2293
180,0.0000,0.0958,4.3191,38.7608,34.4418,46.5415,14.6977,1.7806,0.2105
192,0.0000,0.0794,4.3712,39.1342,34.7630,46.3831,14.4827,1.7454,0.2238
204,0.0000,0.0835,4.5532,39.6971,35.1439,46.0998,14.2030,1.6961,0.2012
216,0.0000,0.0772,4.6139,40.3779,35.7640,46.0386,13.5835,1.5539,0.1734
228,0.0000,0.0691,4.4768,40.5556,36.0788,46.0919,13.3526,1.5081,0.1652
240,0.0000,0.0767,4.5831,41.1272,36.5441,45.8370,13.0358,1.4547,0.1633
252,0.0000,0.0694,4.7491,41.6138,36.8647,45.4519,12.9343,1.4321,0.1576
264,0.0000,0.0618,4.6431,41.7289,37.0858,45.3152,12.9558,1.4517,0.1609
276,0.0000,0.0667,4.7814,42.1990,37.4176,44.9446,12.8564,1.4346,0.1599
288,0.0000,0.0796,5.0133,42.9444,37.9311,44.3208,12.7348,1.4484,0.1761
300,0.0000,0.0472,4.9200,43.2813,38.3613,44.0696,12.6491,1.4373,0.1686
312,0.0000,0.0471,4.9688,43.4707,38.5020,43.9379,12.5913,1.4195,0.1592
324,0.0000,0.0444,4.8279,43.4902,38.6622,43.8654,12.6444,1.4374,0.1657
336,0.0000,0.0450,4.9850,43.7439,38.7589,43.6054,12.6507,1.4427,0.1675
348,0.0000,0.0678,5.2249,43.9750,38.7500,43.4285,12.5965,1.4227,0.1564
360,0.0000,0.0538,5.3466,43.9780,38.6314,43.4188,12.6032,1.4326,0.1643
372,0.0000,0.0611,5.5350,44.0592,38.5241,43.2522,12.6886,1.4415,0.1622
384,0.0000,0.0724,5.5250,44.0769,38.5519,43.2323,12.6909,1.4689,0.1696
396,0.0000,0.0587,5.5931,44.0831,38.4900,43.1893,12.7276,1.4702,0.1670
408,0.0000,0.0643,5.6923,44.2356,38.5433,43.1336,12.6309,1.4396,0.1580
420,0.0000,0.0465,5.6373,44.1745,38.5373,43.1758,12.6496,1.4612,0.1738
432,0.0000,0.0446,5.5270,44.1367,38.6097,43.1713,12.6920,1.4649,0.1852
444,0.0000,0.0708,5.5441,44.1612,38.6171,43.1819,12.6569,1.4649,0.1735
456,0.0000,0.0147,5.1897,43.9624,38.7727,43.3373,12.7002,1.4757,0.1884
468,0.0000,0.0027,4.9289,43.7816,38.8528,43.4681,12.7503,1.4702,0.1665
480,0.0000,0.0250,5.0438,43.8623,38.8184,43.3869,12.7508,1.4409,0.1630
492,0.0000,0.0245,5.2026,44.0261,38.8235,43.3182,12.6557,1.4648,0.1712
504,0.0000,0.0169,4.9433,43.8723,38.9290,43.4211,12.7066,1.4788,0.1804
516,0.0000,0.0082,4.8351,43.7804,38.9453,43.5158,12.7038,1.4531,0.1642
528,0.0000,0.0060,4.8833,43.8761,38.9927,43.4672,12.6568,1.4440,0.1633
540,0.0000,0.0000,4.5201,43.5623,39.0422,43.6730,12.7647,1.4478,0.1619
552,0.0000,0.0000,4.5218,43.5663,39.0445,43.6687,12.7650,1.4697,0.1673
564,0.0000,0.0046,4.6180,43.7478,39.1298,43.5952,12.6570,1.4373,0.1666
576,0.0000,0.0042,4.6473,43.7146,39.0673,43.6105,12.6749,1.4338,0.1640
588,0.0000,0.0000,4.4258,43.5272,39.1014,43.7582,12.7147,1.4428,0.1591
600,0.0000,0.0000,4.4020,43.5837,39.1816,43.6945,12.7218,1.4558,0.1695
612,0.0000,0.0000,4.4266,43.5756,39.1490,43.7389,12.6855,1.4468,0.1579
624,0.0000,0.0000,4.2991,43.5908,39.2918,43.7716,12.6376,1.4296,0.1619
636,0.0000,0.0000,4.2146,43.4527,39.2382,43.8168,12.7304,1.4768,0.1717
648,0.0000,0.0000,4.0147,43.3054,39.2907,43.9201,12.7745,1.4631,0.1675
660,0.0000,0.0000,3.8977,43.2740,39.3763,44.0177,12.7082,1.4566,0.1728
672,0.0000,0.0000,3.9023,43.1489,39.2465,44.0954,12.7557,1.4603,0.1632
684,0.0000,0.0000,3.9613,43.2647,39.3034,44.0134,12.7219,1.4412,0.1593
696,0.0000,0.0000,4.0795,43.2343,39.1548,44.0477,12.7180,1.4541,0.1635
708,0.0000,0.0000,3.8908,43.1779,39.2871,44.1390,12.6832,1.4275,0.1554
720,0.0000,0.0000,3.6848,42.9823,39.2975,44.2848,12.7329,1.4470,0.1621
732,0.0000,0.0000,3.7226,42.9694,39.2468,44.2710,12.7596,1.4802,0.1957
744,0.0000,0.0000,3.5042,42.8468,39.3427,44.3405,12.8127,1.4629,0.1797
756,0.0000,0.0000,3.5871,42.9248,39.3377,44.3364,12.7388,1.4547,0.1642
768,0.0000,0.0000,3.7230,43.0595,39.3365,44.2497,12.6908,1.4228,0.1613
780,0.0000,0.0000,3.3287,42.6098,39.2811,44.5863,12.8039,1.4529,0.1635
792,0.0000,0.0000,3.3687,42.6181,39.2494,44.6098,12.7721,1.4403,0.1605
804,0.0000,0.0000,3.2469,42.5950,39.3482,44.6421,12.7629,1.4376,0.1611
816,0.0000,0.0000,3.2580,42.4717,39.2137,44.7407,12.7875,1.4327,0.1570
828,0.0000,0.0000,3.0177,42.1646,39.1469,44.9747,12.8607,1.4799,0.1914
840,0.0000,0.0000,3.0966,42.2948,39.1983,44.8403,12.8648,1.4565,0.1748
852,0.0000,0.0000,3.0457,42.1203,39.0746,44.9983,12.8814,1.4560,0.1607
864,0.0000,0.0000,3.0814,42.3923,39.3110,44.8025,12.8052,1.4577,0.1808
876,0.0000,0.0000,2.9627,42.1096,39.1469,45.0352,12.8552,1.4565,0.1626
888,0.0000,0.0000,2.6771,41.7854,39.1083,45.3108,12.9038,1.4481,0.1591
900,0.0000,0.0000,2.9455,41.9941,39.0486,45.1193,12.8866,1.4485,0.1602
912,0.0000,0.0000,2.6381,41.5691,38.9310,45.4724,12.9585,1.4530,0.1593
924,0.0000,0.0000,2.5543,41.5293,38.9750,45.4989,12.9718,1.4657,0.1615
936,0.0000,0.0000,2.4772,41.4866,39.0093,45.5615,12.9520,1.4662,0.1759
948,0.0000,0.0000,2.4235,41.3899,38.9664,45.6538,12.9563,1.4546,0.1609
960,0.0000,0.0000,2.3044,41.0038,38.6995,45.9303,13.0659,1.4808,0.1830
972,0.0000,0.0000,2.3395,41.1797,38.8402,45.7840,13.0363,1.4875,0.1920
984,0.0000,0.0000,2.3247,41.1095,38.7848,45.8742,13.0163,1.4571,0.1581
996,0.0000,0.0000,2.3659,40.9990,38.6331,45.9868,13.0141,1.4605,0.1637
1008,0.0000,0.0000,2.1959,40.7694,38.5734,46.1367,13.0940,1.4687,0.1697
1020,0.0000,0.0000,2.1998,40.7998,38.6000,46.1236,13.0766,1.4652,0.1598
1032,0.0000,0.0000,2.1198,40.6065,38.4867,46.2993,13.0942,1.4704,0.1649
1044,0.0000,0.0000,2.0192,40.3871,38.3679,46.4658,13.1471,1.4827,0.1741
1056,0.0000,0.0000,1.9179,40.4163,38.4984,46.4434,13.1403,1.4789,0.1730
1068,0.0000,0.0000,1.8285,40.1253,38.2969,46.7346,13.1401,1.4617,0.1577
1080,0.0000,0.0000,1.8160,39.8725,38.0564,46.8604,13.2672,1.4926,0.1743
1092,0.0000,0.0000,1.8216,39.8168,37.9952,46.9342,13.2490,1.4747,0.1590
1104,0.0000,0.0000,1.8373,39.7578,37.9205,47.0031,13.2391,1.4799,0.1619
1116,0.0000,0.0000,1.6033,39.5399,37.9366,47.1804,13.2797,1.4785,0.1618
1128,0.0000,0.0000,1.6013,39.4644,37.8630,47.2345,13.3011,1.4693,0.1618
1140,0.0000,0.0000,1.4446,38.9813,37.5367,47.5768,13.4419,1.4944,0.1660
1152,0.0000,0.0000,1.4553,39.0585,37.6032,47.5885,13.3530,1.4878,0.1616
1164,0.0000,0.0000,1.4525,38.7367,37.2842,47.8039,13.4593,1.5075,0.1716
1176,0.0000,0.0000,1.3258,38.9627,37.6369,47.6678,13.3695,1.5005,0.1797
1188,0.0000,0.0000,1.3894,38.7649,37.3754,47.8582,13.3769,1.4781,0.1619
1200,0.0000,0.0000,1.4344,38.6584,37.2240,47.9083,13.4333,1.4917,0.1635
