cycle,wealth_gini
0,0.6099
12,0.5219
24,0.4984
36,0.4929
48,0.4863
60,0.481
72,0.4754
84,0.4718
96,0.4696
108,0.465
120,0.4643
132,0.4647
144,0.4593
156,0.4583
168,0.4588
180,0.4534
192,0.446
204,0.445
216,0.4445
228,0.4433
240,0.4415
252,0.4394
264,0.435
276,0.4345
288,0.4351
300,0.4354
312,0.4344
324,0.4345
336,0.4292
348,0.428
360,0.4308
372,0.4306
384,0.4309
396,0.4255
408,0.4262
420,0.4254
432,0.4253
444,0.4254
456,0.4276
468,0.4266
480,0.4252
492,0.4238
504,0.4242
516,0.424
528,0.428
540,0.4259
552,0.4221
564,0.4235
576,0.424
588,0.4226
600,0.4235
612,0.424
624,0.4259
636,0.4229
648,0.4231
660,0.4246
672,0.4232
684,0.4242
696,0.4209
708,0.4225
720,0.4232
732,0.4213
744,0.422
756,0.4216
768,0.4222
780,0.4198
792,0.4205
804,0.4206
816,0.4227
828,0.4216
840,0.4198
852,0.4176
864,0.4207
876,0.423
888,0.4222
900,0.4248
912,0.4257
924,0.4261
936,0.4271
948,0.4267
960,0.4251
972,0.4263
984,0.4263
996,0.4266
1008,0.4259
1020,0.4275
1032,0.429
1044,0.4262
1056,0.4251
1068,0.4306
1080,0.4288
1092,0.4303
1104,0.4297
1116,0.433
1128,0.4344
1140,0.431
1152,0.4324
1164,0.4314
1176,0.4344
1188,0.4335
1200,0.4336
