cycle,income_gini
0,NaN
12,0.2836
24,0.2342
36,0.2113
48,0.2183
60,0.2139
72,0.2061
84,0.2031
96,0.1973
108,0.1968
120,0.1857
132,0.1813
144,0.1783
156,0.1745
168,0.1665
180,0.1603
192,0.1553
204,0.1476
216,0.1372
228,0.135
240,0.1277
252,0.1217
264,0.1215
276,0.1158
288,0.107
300,0.104
312,0.1015
324,0.1016
336,0.0981
348,0.0943
360,0.0938
372,0.0924
384,0.0921
396,0.0917
408,0.0894
420,0.0903
432,0.0913
444,0.0907
456,0.0944
468,0.0975
480,0.0963
492,0.0935
504,0.0964
516,0.0978
528,0.0964
540,0.1017
552,0.1017
564,0.099
576,0.0993
588,0.1025
600,0.1019
612,0.1018
624,0.102
636,0.1044
648,0.1071
660,0.1076
672,0.1093
684,0.1076
696,0.1077
708,0.1089
720,0.1123
732,0.1125
744,0.115
756,0.1135
768,0.1113
780,0.1187
792,0.1184
804,0.1189
816,0.1206
828,0.1256
840,0.1239
852,0.1263
864,0.1227
876,0.1267
888,0.1317
900,0.1284
912,0.1349
924,0.1359
936,0.1364
948,0.1379
960,0.1435
972,0.1411
984,0.1421
996,0.1433
1008,0.1467
1020,0.1466
1032,0.1492
1044,0.1524
1056,0.1523
1068,0.1561
1080,0.1597
1092,0.1601
1104,0.1607
1116,0.1644
1128,0.1653
1140,0.172
1152,0.1706
1164,0.1746
1176,0.1722
1188,0.1741
1200,0.1754
