cycle,wealth_gini
0,0.6099
12,0.5219
24,0.4984
36,0.4958
48,0.4892
60,0.4855
72,0.4838
84,0.4799
96,0.48
108,0.4839
120,0.4847
132,0.4853
144,0.4807
156,0.4843
168,0.4896
180,0.4917
192,0.4946
204,0.4972
216,0.4998
228,0.501
240,0.4995
252,0.499
264,0.5038
276,0.5063
288,0.5117
300,0.513
312,0.5145
324,0.5169
336,0.5232
348,0.5238
360,0.5247
372,0.5278
384,0.5314
396,0.5307
408,0.5333
420,0.5385
432,0.543
444,0.5478
456,0.549
468,0.5513
480,0.5488
492,0.5558
504,0.561
516,0.5648
528,0.5653
540,0.5721
552,0.5757
564,0.58
576,0.582
588,0.5829
600,0.5888
612,0.5908
624,0.5923
636,0.5982
648,0.5988
660,0.6078
672,0.6085
684,0.6163
696,0.6191
708,0.6189
720,0.6231
732,0.6304
744,0.633
756,0.6374
768,0.6408
780,0.6435
792,0.644
804,0.6544
816,0.6567
828,0.6614
840,0.6632
852,0.6652
864,0.6647
876,0.6687
888,0.6695
900,0.6738
912,0.676
924,0.6795
936,0.6862
948,0.6925
960,0.6968
972,0.6965
984,0.7026
996,0.7061
1008,0.7076
1020,0.7105
1032,0.7151
1044,0.7213
1056,0.7215
1068,0.7252
1080,0.726
1092,0.7314
1104,0.732
1116,0.7346
1128,0.7426
1140,0.7433
1152,0.7441
1164,0.7447
1176,0.7475
1188,0.7503
1200,0.7554
