cycle,income_gini
0,NaN
12,0.2836
24,0.2388
36,0.2155
48,0.2238
60,0.2247
72,0.2236
84,0.2244
96,0.2201
108,0.2272
120,0.2236
132,0.2235
144,0.2305
156,0.2221
168,0.2227
180,0.2219
192,0.2216
204,0.2241
216,0.2225
228,0.2281
240,0.2214
252,0.2185
264,0.2177
276,0.2212
288,0.2217
300,0.2261
312,0.2224
324,0.2237
336,0.2194
348,0.2234
360,0.2223
372,0.2213
384,0.2213
396,0.2226
408,0.2207
420,0.2195
432,0.2226
444,0.2201
456,0.2214
468,0.2212
480,0.2188
492,0.2193
504,0.2221
516,0.2204
528,0.2234
540,0.2188
552,0.2223
564,0.2219
576,0.2259
588,0.2206
600,0.2204
612,0.2213
624,0.2235
636,0.2176
648,0.2205
660,0.2202
672,0.223
684,0.2202
696,0.2234
708,0.2283
720,0.221
732,0.222
744,0.2276
756,0.2292
768,0.2288
780,0.2282
792,0.2226
804,0.2207
816,0.2214
828,0.2232
840,0.2276
852,0.2285
864,0.2293
876,0.2246
888,0.2283
900,0.2273
912,0.2253
924,0.229
936,0.2271
948,0.229
960,0.2322
972,0.233
984,0.2293
996,0.23
1008,0.2347
1020,0.2308
1032,0.2326
1044,0.2314
1056,0.2342
1068,0.2317
1080,0.2322
1092,0.2319
1104,0.2354
1116,0.235
1128,0.2324
1140,0.2367
1152,0.2396
1164,0.2389
1176,0.2384
1188,0.239
1200,0.2377
