cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,-0.0167,-0.1669,-0.0302,7.6615,7.6916,40.1626,52.1759,14.9696,3.5104
12,0.0023,0.0688,1.5614,16.8284,15.2670,41.2998,41.8718,11.4294,2.4610
24,-0.0310,-0.1193,1.0338,17.8963,16.8625,43.5769,38.5268,11.1070,2.4346
36,-0.0375,-0.1138,1.0251,17.8146,16.7895,44.5076,37.6778,11.2775,2.6277
48,-0.0424,-0.1203,1.0649,18.2421,17.1772,44.6697,37.0881,11.4572,2.7603
60,-0.0278,-0.1157,1.0372,18.3672,17.3300,45.0820,36.5508,11.7062,2.8495
72,-0.0270,-0.0859,1.1357,18.4302,17.2945,45.0322,36.5376,11.9468,3.0677
84,-0.0324,-0.1205,1.1048,18.6890,17.5842,45.1953,36.1157,12.0290,3.1553
96,-0.0304,-0.1071,1.1060,18.7000,17.5941,45.2041,36.0959,12.3198,3.3001
108,-0.0330,-0.1243,1.0482,18.3812,17.3329,45.3887,36.2301,12.4766,3.4704
120,-0.0350,-0.1181,1.0794,18.4008,17.3213,45.1543,36.4450,12.8012,3.5912
132,-0.0261,-0.0987,1.0638,18.4298,17.3660,45.1077,36.4626,12.9739,3.7607
144,-0.0312,-0.1034,1.1460,18.7478,17.6018,44.8916,36.3606,13.2791,3.8605
156,-0.0377,-0.1332,1.0859,18.6179,17.5320,44.7040,36.6781,13.5499,3.9503
168,-0.0259,-0.0866,1.1082,18.1975,17.0893,44.7680,37.0345,13.8192,4.1058
180,-0.0367,-0.1091,1.0300,18.1952,17.1651,44.5002,37.3047,14.2006,4.2186
192,-0.0341,-0.1226,0.9870,18.0153,17.0284,44.3949,37.5898,14.6157,4.3908
204,-0.0329,-0.1104,1.0304,17.9085,16.8782,44.2556,37.8359,14.8483,4.5896
216,-0.0309,-0.1222,0.9936,17.7940,16.8004,44.2046,38.0013,15.2328,4.6838
228,-0.0324,-0.1131,1.0067,17.7701,16.7634,44.0193,38.2106,15.5771,4.8592
240,-0.0370,-0.1042,1.0751,18.0123,16.9373,43.4582,38.5295,15.9743,5.0567
252,-0.0367,-0.1283,1.0453,17.9955,16.9502,43.5975,38.4070,16.2671,5.1998
264,-0.0312,-0.1057,0.9810,17.6591,16.6781,43.8242,38.5168,16.5209,5.2247
