cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.7236,29.4448,28.7212,46.6612,23.8940,5.4947,1.3672
24,0.0044,0.1741,4.1198,33.4236,29.3038,46.8381,19.7382,2.9485,0.3978
36,0.0026,0.1540,4.2424,34.9171,30.6747,46.9951,18.0879,2.4628,0.3157
48,0.0000,0.0949,3.8806,34.3703,30.4896,47.3705,18.2592,2.4765,0.3152
60,0.0000,0.0922,3.8749,34.2557,30.3808,47.4602,18.2841,2.5226,0.3426
72,0.0000,0.0942,3.8850,34.3123,30.4273,47.5592,18.1285,2.4689,0.3197
84,0.0000,0.0900,3.8287,34.3049,30.4762,47.4949,18.2001,2.5018,0.3388
96,0.0000,0.1089,3.9273,34.5578,30.6306,47.5114,17.9307,2.4251,0.3153
108,0.0000,0.0889,3.7692,34.0376,30.2684,47.7176,18.2448,2.4829,0.3363
120,0.0000,0.1047,3.8409,34.2643,30.4234,47.7758,17.9599,2.4136,0.3153
132,0.0001,0.0958,3.7815,34.3464,30.5649,47.6326,18.0210,2.4298,0.3081
144,0.0000,0.0942,3.8014,33.9035,30.1020,47.4802,18.6163,2.5075,0.3258
156,0.0001,0.1037,3.9009,34.4536,30.5527,47.4621,18.0843,2.5066,0.4028
168,0.0002,0.1015,3.8232,34.4193,30.5961,47.4924,18.0883,2.4932,0.3407
180,0.0002,0.0995,3.8266,34.4343,30.6077,47.5455,18.0203,2.4578,0.3260
192,0.0001,0.1037,3.8920,34.4173,30.5253,47.6451,17.9376,2.3987,0.3040
204,0.0001,0.1012,3.8079,34.2692,30.4613,47.6228,18.1080,2.5245,0.3512
216,0.0006,0.1118,3.8801,34.3852,30.5051,47.5652,18.0496,2.4411,0.3391
228,0.0000,0.0953,3.7597,34.0081,30.2484,47.6751,18.3168,2.5157,0.3202
240,0.0000,0.1041,3.8792,34.4534,30.5742,47.6001,17.9465,2.4241,0.3269
252,0.0015,0.1286,4.0525,34.6497,30.5972,47.3363,18.0141,2.5128,0.3818
264,0.0000,0.1107,3.9715,34.7102,30.7387,47.5028,17.7870,2.4669,0.3731
276,0.0001,0.0860,3.8285,34.4268,30.5983,47.7195,17.8537,2.3647,0.3150
288,0.0003,0.1077,3.9130,34.4558,30.5428,47.4723,18.0719,2.4897,0.3496
300,0.0000,0.0817,3.6978,34.1378,30.4400,47.7480,18.1142,2.5128,0.3550
312,0.0001,0.0954,3.8808,34.3911,30.5103,47.5879,18.0210,2.4819,0.3706
324,0.0000,0.1020,3.9296,34.2536,30.3240,47.6111,18.1353,2.5198,0.3733
336,0.0000,0.1046,3.9201,34.6420,30.7218,47.4223,17.9357,2.4715,0.3578
348,0.0000,0.0788,3.8018,34.3455,30.5436,47.5806,18.0740,2.5999,0.4350
360,0.0000,0.0902,3.8789,34.4123,30.5333,47.5737,18.0141,2.4379,0.3219
372,0.0006,0.1070,3.8814,34.4791,30.5977,47.5461,17.9749,2.4685,0.3761
384,0.0003,0.1112,3.9178,34.5040,30.5862,47.3914,18.1046,2.5416,0.3853
396,0.0002,0.1042,3.8607,34.3476,30.4869,47.6242,18.0282,2.5162,0.3553
408,0.0000,0.0931,3.8943,34.5064,30.6122,47.5153,17.9782,2.5395,0.4077
420,0.0007,0.1172,3.9354,34.5656,30.6302,47.6160,17.8184,2.4490,0.3286
432,0.0000,0.0976,3.8410,34.3850,30.5441,47.5794,18.0355,2.4646,0.3775
444,0.0000,0.0840,3.8644,34.5602,30.6958,47.5672,17.8727,2.5231,0.3711
456,0.0000,0.0872,3.8694,34.4691,30.5997,47.5423,17.9887,2.4587,0.3297
468,0.0000,0.1038,3.9775,34.4778,30.5003,47.4863,18.0359,2.6128,0.4999
480,0.0003,0.1142,4.0118,34.6912,30.6794,47.3512,17.9576,2.5162,0.3776
492,0.0000,0.1179,3.9367,34.6168,30.6800,47.5202,17.8630,2.4252,0.3039
504,0.0001,0.1023,3.8163,34.4386,30.6222,47.5462,18.0152,2.5399,0.3839
516,0.0000,0.0957,3.8828,34.4622,30.5794,47.7697,17.7681,2.4128,0.3213
528,0.0001,0.1080,3.8869,34.3348,30.4478,47.5353,18.1299,2.6164,0.4654
540,0.0000,0.0809,3.8668,34.6654,30.7986,47.5480,17.7866,2.4302,0.3289
552,0.0001,0.1000,3.8486,34.3922,30.5436,47.5837,18.0242,2.5739,0.4128
564,0.0000,0.0822,3.7814,34.4638,30.6824,47.5346,18.0015,2.5638,0.4312
576,0.0000,0.0713,3.7215,34.2239,30.5024,47.5026,18.2736,2.5313,0.4059
588,0.0000,0.0795,3.8456,34.5514,30.7058,47.5150,17.9335,2.5897,0.4277
600,0.0000,0.0663,3.8146,34.5955,30.7809,47.4799,17.9246,2.5109,0.4437
612,0.0000,0.0914,3.8677,34.5400,30.6723,47.3709,18.0891,2.6561,0.4656
624,0.0000,0.0735,3.8019,34.3850,30.5831,47.4329,18.1821,2.7614,0.6013
636,0.0000,0.0915,4.0161,34.7354,30.7192,47.3698,17.8948,2.5111,0.3918
648,0.0000,0.0868,3.8876,34.5472,30.6596,47.4777,17.9751,2.4696,0.3567
660,0.0000,0.0851,3.8358,34.5719,30.7361,47.5210,17.9070,2.4438,0.3254
672,0.0000,0.0772,3.7973,34.3948,30.5975,47.6014,18.0039,2.5212,0.4211
684,0.0000,0.0644,3.7932,34.5740,30.7808,47.5528,17.8732,2.4365,0.3215
696,0.0000,0.0616,3.7668,34.3659,30.5992,47.5759,18.0581,2.5513,0.4124
708,0.0000,0.0662,3.6717,34.0504,30.3786,47.6223,18.3273,2.7086,0.5285
720,0.0000,0.0692,3.8381,34.5066,30.6685,47.5291,17.9643,2.5460,0.4432
732,0.0000,0.1034,3.7997,34.4888,30.6891,47.4513,18.0599,2.7130,0.5866
744,0.0000,0.0650,3.7045,34.0310,30.3265,47.7514,18.2176,2.5845,0.4051
756,0.0000,0.0441,3.5458,34.0056,30.4598,47.6519,18.3425,2.8010,0.6124
768,0.0000,0.0692,3.6231,34.0177,30.3946,47.6507,18.3316,2.7005,0.5260
780,0.0000,0.0538,3.6546,33.9985,30.3439,47.7943,18.2072,2.4856,0.3488
792,0.0000,0.0600,3.7306,34.3863,30.6556,47.7072,17.9065,2.5398,0.4291
804,0.0000,0.0665,3.7419,34.5246,30.7827,47.6519,17.8235,2.4241,0.3226
816,0.0000,0.0792,3.8329,34.4435,30.6107,47.6157,17.9408,2.4204,0.2977
828,0.0000,0.0584,3.7335,34.4128,30.6793,47.4795,18.1078,2.8061,0.6797
840,0.0000,0.0463,3.6410,34.1132,30.4721,47.6211,18.2657,2.6826,0.5122
852,0.0000,0.0558,3.6814,34.0290,30.3476,47.5785,18.3925,2.7771,0.5519
864,0.0000,0.0600,3.5776,33.9594,30.3818,47.7244,18.3162,2.7383,0.5969
876,0.0000,0.0653,3.7263,34.3633,30.6370,47.3960,18.2407,2.9512,0.8281
888,0.0000,0.0636,3.6875,34.0697,30.3822,47.4904,18.4399,2.8770,0.7143
900,0.0000,0.0595,3.7081,34.0805,30.3724,47.7030,18.2166,2.5674,0.4334
912,0.0000,0.0649,3.7013,34.3031,30.6018,47.4385,18.2584,2.7334,0.5789
924,0.0000,0.0418,3.5887,34.0025,30.4138,47.7086,18.2888,2.7960,0.6551
936,0.0000,0.0487,3.5842,34.0856,30.5014,47.8500,18.0644,2.4972,0.3770
948,0.0000,0.0365,3.5482,34.0267,30.4785,47.6428,18.3305,2.6141,0.4077
960,0.0000,0.0378,3.4101,33.7817,30.3716,47.9320,18.2863,2.5920,0.4279
972,0.0000,0.0435,3.5075,33.7819,30.2744,47.6271,18.5909,2.7610,0.5998
984,0.0000,0.0343,3.4854,33.9971,30.5116,47.7842,18.2187,2.5761,0.3693
996,0.0000,0.0364,3.4369,33.9023,30.4654,47.9290,18.1687,2.5586,0.3957
1008,0.0000,0.0390,3.3834,33.6157,30.2323,47.8765,18.5078,3.0421,0.8282
1020,0.0000,0.0292,3.3840,33.8238,30.4399,48.0109,18.1653,2.5019,0.3541
1032,0.0000,0.0236,3.3208,33.7945,30.4737,47.8561,18.3494,2.6241,0.4689
1044,0.0000,0.0225,3.3623,33.7677,30.4054,48.0892,18.1430,2.5012,0.3268
1056,0.0000,0.0171,3.3172,33.6696,30.3523,47.8515,18.4789,2.7983,0.5942
1068,0.0000,0.0373,3.4360,33.7284,30.2924,48.0545,18.2171,2.5660,0.4303
1080,0.0000,0.0289,3.3213,33.8195,30.4982,47.8298,18.3506,2.8830,0.7697
1092,0.0000,0.0163,3.2516,33.7931,30.5416,48.0079,18.1990,2.6627,0.4975
1104,0.0000,0.0235,3.3089,33.5986,30.2897,47.8786,18.5228,2.9701,0.8284
1116,0.0000,0.0237,3.2432,33.6000,30.3568,48.0018,18.3982,2.7826,0.6474
1128,0.0000,0.0160,3.2581,33.7536,30.4954,47.9997,18.2467,2.6226,0.4469
1140,0.0000,0.0168,3.2550,33.5474,30.2923,47.8283,18.6243,3.0390,0.8234
1152,0.0000,0.0116,3.1406,33.2943,30.1537,48.0680,18.6377,2.9686,0.8015
1164,0.0000,0.0155,3.1980,33.3509,30.1530,48.0309,18.6182,2.8750,0.7242
1176,0.0000,0.0242,3.1239,33.3980,30.2741,48.0226,18.5794,2.8258,0.6467
1188,0.0000,0.0113,3.0938,33.3818,30.2880,48.0097,18.6086,2.9834,0.8291
1200,0.0000,0.0096,3.0652,33.4182,30.3530,48.1398,18.4420,2.7272,0.5281
