cycle,money_stock,total_wealth
0,576188734.7160,576188734.7160
12,606997453.3849,606997453.3849
24,614457306.6188,614457306.6188
36,619368086.9739,619368086.9739
48,621691220.9179,621691220.9179
60,621891798.5415,621891798.5415
72,621891798.5415,621891798.5415
84,621891798.5415,621891798.5415
96,621891798.5415,621891798.5415
108,621891798.5415,621891798.5415
120,621891798.5415,621891798.5415
132,621891798.5415,621891798.5415
144,621891798.5415,621891798.5415
156,621891798.5415,621891798.5415
168,621891798.5415,621891798.5415
180,621891798.5415,621891798.5415
192,621891798.5415,621891798.5415
204,621891798.5415,621891798.5415
216,621891798.5415,621891798.5415
228,621891798.5415,621891798.5415
240,621891798.5415,621891798.5415
252,621891798.5415,621891798.5415
264,621891798.5415,621891798.5415
276,621891798.5415,621891798.5415
288,621891798.5415,621891798.5415
300,621891798.5415,621891798.5415
312,621891798.5415,621891798.5415
324,621891798.5415,621891798.5415
336,621891798.5415,621891798.5415
348,621891798.5415,621891798.5415
360,621891798.5415,621891798.5415
372,621891798.5415,621891798.5415
384,621891798.5415,621891798.5415
396,621891798.5415,621891798.5415
408,621891798.5415,621891798.5415
420,621891798.5415,621891798.5415
432,621891798.5415,621891798.5415
444,621891798.5415,621891798.5415
456,621891798.5415,621891798.5415
468,621891798.5415,621891798.5415
480,621891798.5415,621891798.5415
492,621891798.5415,621891798.5415
504,621891798.5415,621891798.5415
516,621891798.5415,621891798.5415
528,621891798.5415,621891798.5415
540,621891798.5415,621891798.5415
552,621891798.5415,621891798.5415
564,621891798.5415,621891798.5415
576,621891798.5415,621891798.5415
588,621891798.5415,621891798.5415
600,621891798.5415,621891798.5415
612,621891798.5415,621891798.5415
624,621891798.5415,621891798.5415
636,621891798.5415,621891798.5415
648,621891798.5415,621891798.5415
660,621891798.5415,621891798.5415
672,621891798.5415,621891798.5415
684,621891798.5415,621891798.5415
696,621891798.5415,621891798.5415
708,621891798.5415,621891798.5415
720,621891798.5415,621891798.5415
732,621891798.5415,621891798.5415
744,621891798.5415,621891798.5415
756,621891798.5415,621891798.5415
768,621891798.5415,621891798.5415
780,621891798.5415,621891798.5415
792,621891798.5415,621891798.5415
804,621891798.5415,621891798.5415
816,621891798.5415,621891798.5415
828,621891798.5415,621891798.5415
840,621891798.5415,621891798.5415
852,621891798.5415,621891798.5415
864,621891798.5415,621891798.5415
876,621891798.5415,621891798.5415
888,621891798.5415,621891798.5415
900,621891798.5415,621891798.5415
912,621891798.5415,621891798.5415
924,621891798.5415,621891798.5415
936,621891798.5415,621891798.5415
948,621891798.5415,621891798.5415
960,621891798.5415,621891798.5415
972,621891798.5415,621891798.5415
984,621891798.5415,621891798.5415
996,621891798.5415,621891798.5415
1008,621891798.5415,621891798.5415
1020,621891798.5415,621891798.5415
1032,621891798.5415,621891798.5415
1044,621891798.5415,621891798.5415
1056,621891798.5415,621891798.5415
1068,621891798.5415,621891798.5415
1080,621891798.5415,621891798.5415
1092,621891798.5415,621891798.5415
1104,621891798.5415,621891798.5415
1116,621891798.5415,621891798.5415
1128,621891798.5415,621891798.5415
1140,621891798.5415,621891798.5415
1152,621891798.5415,621891798.5415
1164,621891798.5415,621891798.5415
1176,621891798.5415,621891798.5415
1188,621891798.5415,621891798.5415
1200,621891798.5415,621891798.5415
