cycle,income_gini
0,NaN
12,0.3456
24,0.304
36,0.3074
48,0.3023
60,0.3056
72,0.306
84,0.3065
96,0.3041
108,0.3025
120,0.301
132,0.3002
144,0.3003
156,0.3012
168,0.3016
180,0.3019
192,0.2991
204,0.2995
216,0.3012
228,0.3009
240,0.2965
252,0.2979
264,0.297
276,0.2976
288,0.2935
300,0.2969
312,0.2948
324,0.2939
336,0.293
348,0.294
360,0.2939
372,0.2931
384,0.2925
396,0.2935
408,0.2912
420,0.2899
432,0.2895
444,0.2933
456,0.2902
468,0.2909
480,0.2904
492,0.2879
504,0.2903
516,0.2915
528,0.2887
540,0.2899
552,0.2922
564,0.2918
576,0.2888
588,0.2898
600,0.2918
612,0.2902
624,0.2892
636,0.2902
648,0.2877
660,0.2869
672,0.2868
684,0.2902
696,0.2903
708,0.288
720,0.2881
732,0.291
744,0.2873
756,0.2862
768,0.2866
780,0.2909
792,0.2923
804,0.2886
816,0.2867
828,0.2842
840,0.2925
852,0.2894
864,0.2888
876,0.2916
888,0.2919
900,0.2913
912,0.2904
924,0.2888
936,0.2924
948,0.2932
960,0.291
972,0.2954
984,0.2913
996,0.2914
1008,0.2914
1020,0.2944
1032,0.2953
1044,0.293
1056,0.2927
1068,0.2965
1080,0.2973
1092,0.2973
1104,0.2946
1116,0.2962
1128,0.2967
1140,0.2962
1152,0.2986
1164,0.2956
1176,0.2982
1188,0.2998
1200,0.2984
