cycle,money_stock
0,576188734.7160
12,576314956.2934
24,576444057.5847
36,576543398.4320
48,576619839.2372
60,576678658.8975
72,576723919.4503
84,576758746.5595
96,576785545.3033
108,576806166.4102
120,576822033.9235
132,576834243.6668
144,576843638.8174
156,576850868.2022
168,576856431.0608
180,576860711.5791
192,576864005.3293
204,576866539.8245
216,576868490.0609
228,576869990.7318
240,576871145.4703
252,576872034.0160
264,576872717.7425
276,576873243.8513
288,576873648.6781
300,576873960.1850
312,576874199.8722
324,576874384.3060
336,576874526.2205
348,576874635.4508
360,576874719.4870
372,576874784.1593
384,576874833.8975
396,576874872.1806
408,576874901.6394
420,576874924.3134
432,576874941.7512
444,576874955.1724
456,576874965.5135
468,576874973.4579
480,576874979.5635
492,576874984.2702
504,576874987.8829
516,576874990.6822
528,576874992.8162
540,576874994.4802
552,576874995.7520
564,576874996.7305
576,576874997.4794
588,576874998.0626
600,576874998.4946
612,576874998.8310
624,576874999.0884
636,576874999.2996
648,576874999.4688
660,576874999.5891
672,576874999.6753
684,576874999.7326
696,576874999.8062
708,576874999.8463
720,576874999.8760
732,576874999.9136
744,576874999.9395
756,576874999.9674
768,576874999.9721
780,576874999.9635
792,576874999.9867
804,576874999.9777
816,576874999.9749
828,576874999.9721
840,576874999.9719
852,576874999.9942
864,576874999.9837
876,576874999.9849
888,576874999.9810
900,576874999.9829
912,576875000.0024
924,576875000.0014
936,576875000.0014
948,576875000.0050
960,576874999.9889
972,576874999.9754
984,576874999.9766
996,576874999.9804
1008,576874999.9744
1020,576874999.9802
1032,576874999.9893
1044,576875000.0004
1056,576875000.0070
1068,576874999.9889
1080,576874999.9858
1092,576874999.9887
1104,576874999.9929
1116,576874999.9948
1128,576875000.0025
1140,576874999.9985
1152,576874999.9912
1164,576874999.9738
1176,576874999.9769
1188,576874999.9771
1200,576875000.0025
