time,num_actors,gdp,transactions,min_transaction,max_transaction,projected_expenses,projected_revenue,collected_tax,tax_scale,tax_brackets,failed_tax,collected_vat,failed_vat,debt,total_gi,total_demurrage
0,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,0.0000,0.0000
12,10000,507481876.6276,86498,67.9118,134484.1062,261310140.0000,261440253.1633,261440253.1633,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] ,0,0.0000,0,525743155.0000,149526000.0000,149399778.4310
24,10000,502459897.7407,66731,1135.7595,49167.2446,261310140.0000,261449452.7868,261449452.7868,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] ,0,0.0000,0,525743155.0000,149526000.0000,149396898.7304
36,10000,497454353.4340,60546,1191.4030,44735.4192,261310140.0000,261500408.5583,261500408.5583,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] ,0,0.0000,0,525743155.0000,149526000.0000,149426659.1639
48,10000,492520802.1959,58229,1395.7272,31810.9118,261310140.0000,261539618.0586,261539618.0586,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] ,0,0.0000,0,525743155.0000,149526000.0000,149449559.1741
60,10000,487592007.7217,57021,1431.5475,32332.3187,261310140.0000,261569788.9641,261569788.9641,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] ,0,0.0000,0,525743155.0000,149526000.0000,149467180.3519
72,10000,482774183.6226,56151,1357.8622,31801.3424,261310140.0000,261593004.8531,261593004.8531,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] ,0,0.0000,0,525743155.0000,149526000.0000,149480739.4436
84,10000,477944858.8279,55555,1504.7987,27942.9824,261310140.0000,261610869.0482,261610869.0482,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] ,0,0.0000,0,525743155.0000,149526000.0000,149491172.8953
96,10000,473198798.6655,54973,1546.8211,28895.3560,261310140.0000,261624615.1674,261624615.1674,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] ,0,0.0000,0,525743155.0000,149526000.0000,149499201.2356
108,10000,468463086.8017,54210,1540.1646,29019.8709,261310140.0000,261635192.5130,261635192.5130,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] [(0..) - 3.7800000000000002%] ,0,0.0000,0,525743155.0000,149526000.0000,149505378.9075
