cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,-0.0167,-0.1669,-0.0302,7.6615,7.6916,40.1626,52.1759,14.9696,3.5104
12,0.0138,0.1795,2.7364,23.5812,20.8448,43.5671,32.8517,8.3923,1.9529
24,0.0154,0.2089,3.3422,28.4271,25.0849,46.9257,24.6473,4.9474,1.0755
36,0.0164,0.2300,3.6103,30.2340,26.6236,48.0502,21.7158,3.4845,0.6160
48,0.0173,0.2373,3.7201,30.9857,27.2657,48.4471,20.5671,2.9038,0.3882
60,0.0179,0.2474,3.7608,31.3694,27.6086,48.4821,20.1485,2.7056,0.3343
72,0.0184,0.2557,3.8031,31.4542,27.6511,48.5755,19.9703,2.6682,0.3188
84,0.0173,0.2401,3.8162,31.4446,27.6284,48.6145,19.9409,2.6649,0.3097
96,0.0179,0.2429,3.7996,31.5844,27.7848,48.4466,19.9690,2.6502,0.3161
108,0.0182,0.2469,3.8407,31.7339,27.8932,48.4702,19.7959,2.5936,0.3056
120,0.0194,0.2551,3.8491,31.7183,27.8691,48.5197,19.7621,2.6445,0.3186
132,0.0190,0.2589,3.9263,31.7270,27.8007,48.4433,19.8298,2.6142,0.3082
144,0.0182,0.2616,3.9185,31.6738,27.7553,48.5362,19.7900,2.6186,0.3059
156,0.0177,0.2575,3.9525,31.9855,28.0330,48.3387,19.6758,2.5778,0.3115
168,0.0188,0.2526,3.8846,32.0606,28.1759,48.4997,19.4397,2.5844,0.3122
180,0.0186,0.2603,3.9582,32.1444,28.1862,48.2585,19.5972,2.5955,0.3035
192,0.0167,0.2544,3.9657,32.3023,28.3366,48.3221,19.3756,2.5367,0.3135
204,0.0188,0.2630,4.0122,32.3175,28.3053,48.3316,19.3509,2.5768,0.3114
216,0.0202,0.2731,4.1000,32.4833,28.3833,48.3030,19.2137,2.5575,0.3101
228,0.0185,0.2648,4.0396,32.4687,28.4291,48.3427,19.1886,2.5441,0.3106
240,0.0190,0.2660,4.0684,32.5479,28.4796,48.2501,19.2020,2.5167,0.3058
252,0.0197,0.2731,4.1045,32.6894,28.5849,47.9356,19.3750,2.5751,0.3127
264,0.0193,0.2792,4.1139,32.5439,28.4300,48.1430,19.3131,2.5415,0.3064
276,0.0205,0.2700,4.0855,32.7190,28.6336,48.1805,19.1004,2.5021,0.3082
288,0.0207,0.2807,4.1407,32.9328,28.7921,48.1168,18.9504,2.4889,0.2974
300,0.0209,0.2797,4.1624,32.9277,28.7653,48.1520,18.9204,2.4660,0.2959
312,0.0219,0.2882,4.1941,33.1123,28.9182,48.1422,18.7455,2.4176,0.2869
324,0.0204,0.2809,4.1958,33.2497,29.0539,48.0240,18.7263,2.4288,0.2829
336,0.0207,0.2800,4.1772,33.1930,29.0158,48.1558,18.6512,2.4254,0.2794
348,0.0217,0.2932,4.3060,33.5410,29.2350,47.7364,18.7226,2.4075,0.2771
360,0.0216,0.2875,4.2945,33.4500,29.1555,47.9075,18.6425,2.4237,0.2844
372,0.0227,0.2944,4.3243,33.4750,29.1507,47.8753,18.6496,2.4623,0.2924
384,0.0212,0.2915,4.3386,33.7512,29.4125,47.9123,18.3366,2.3520,0.2827
396,0.0202,0.2769,4.3115,33.7537,29.4422,47.8093,18.4370,2.3771,0.2815
408,0.0231,0.3031,4.3641,33.7515,29.3874,47.7917,18.4568,2.3791,0.2772
420,0.0218,0.2943,4.3668,33.7929,29.4260,47.7319,18.4752,2.3747,0.2682
432,0.0231,0.2941,4.3538,33.7973,29.4435,47.8855,18.3172,2.3695,0.2884
444,0.0221,0.2990,4.3963,33.9410,29.5447,47.7543,18.3047,2.3716,0.2763
456,0.0192,0.2886,4.3247,33.9280,29.6033,47.7549,18.3171,2.3809,0.2814
468,0.0220,0.3027,4.4052,34.1013,29.6961,47.6305,18.2682,2.3685,0.2718
480,0.0227,0.3111,4.4665,34.1565,29.6899,47.5862,18.2573,2.3193,0.2664
492,0.0217,0.3043,4.4837,34.3605,29.8768,47.5124,18.1271,2.3679,0.2815
504,0.0246,0.3140,4.5030,34.3069,29.8039,47.6059,18.0872,2.3212,0.2787
516,0.0214,0.2976,4.4674,34.3375,29.8701,47.6383,18.0243,2.3407,0.2891
528,0.0231,0.3047,4.5156,34.5573,30.0417,47.5600,17.8827,2.2937,0.2769
