cycle,money_stock
0,576188734.7160
12,576314956.2850
24,576444057.5546
36,576543398.3907
48,576619839.2166
60,576678658.8647
72,576723919.4211
84,576758746.5258
96,576785545.2902
108,576806166.3827
120,576822033.9151
132,576834243.6600
144,576843638.8126
156,576850868.1984
168,576856431.0494
180,576860711.5451
192,576864005.3265
204,576866539.8382
216,576868490.0739
228,576869990.7373
240,576871145.4646
252,576872034.0169
264,576872717.7298
276,576873243.8388
288,576873648.6698
300,576873960.1661
312,576874199.8822
324,576874384.3353
336,576874526.2710
348,576874635.4798
360,576874719.5072
372,576874784.1634
384,576874833.9196
396,576874872.2001
408,576874901.6484
420,576874924.3004
432,576874941.7418
444,576874955.1548
456,576874965.4925
468,576874973.4534
480,576874979.5732
492,576874984.2786
504,576874987.9074
516,576874990.6993
528,576874992.8390
540,576874994.4929
552,576874995.7734
564,576874996.7361
576,576874997.4853
588,576874998.0620
600,576874998.5156
612,576874998.8681
624,576874999.1259
636,576874999.3305
648,576874999.4776
660,576874999.5871
672,576874999.6775
684,576874999.7533
696,576874999.8146
708,576874999.8538
720,576874999.8874
732,576874999.9084
744,576874999.9464
756,576874999.9564
768,576874999.9719
780,576874999.9777
792,576874999.9774
804,576874999.9705
816,576874999.9883
828,576874999.9770
840,576874999.9890
852,576874999.9850
864,576874999.9882
876,576875000.0026
888,576875000.0057
900,576875000.0163
912,576875000.0143
924,576875000.0087
936,576875000.0076
948,576875000.0089
960,576874999.9894
972,576874999.9846
984,576874999.9783
996,576874999.9890
1008,576874999.9679
1020,576874999.9796
1032,576874999.9846
1044,576874999.9734
1056,576874999.9812
1068,576874999.9830
1080,576874999.9885
1092,576875000.0044
1104,576874999.9992
1116,576875000.0043
1128,576875000.0199
1140,576875000.0376
1152,576875000.0342
1164,576875000.0226
1176,576875000.0183
1188,576874999.9927
1200,576874999.9999
