cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.6928,28.6612,27.9684,46.7017,24.6371,5.7552,1.4423
24,0.0049,0.1264,3.2301,28.6692,25.4391,45.4248,25.9060,4.2233,0.5458
36,0.0002,0.1066,3.3426,29.7990,26.4564,45.5304,24.6705,4.0417,0.5515
48,0.0002,0.1103,3.2098,29.3366,26.1267,45.8975,24.7659,3.9392,0.5238
60,0.0016,0.1118,3.1829,29.3520,26.1692,46.1225,24.5255,3.8894,0.5215
72,0.0004,0.0965,3.1171,29.1879,26.0708,45.9126,24.8995,4.0197,0.5512
84,0.0000,0.0999,3.1485,29.0318,25.8834,46.0554,24.9128,4.0208,0.5341
96,0.0010,0.1057,3.2458,29.3100,26.0642,45.9504,24.7396,3.9887,0.5289
108,0.0016,0.1021,3.1351,29.0720,25.9369,46.1356,24.7924,4.0469,0.5407
120,0.0017,0.1046,3.1443,29.1875,26.0432,46.0405,24.7720,4.0315,0.5198
132,0.0005,0.1007,3.1548,29.1634,26.0086,46.0089,24.8277,4.0099,0.5596
144,0.0008,0.0991,3.1252,29.2032,26.0780,46.1445,24.6524,4.0172,0.5411
156,0.0018,0.1052,3.1458,29.0955,25.9497,46.0125,24.8920,3.9346,0.5147
168,0.0007,0.1042,3.1590,29.2591,26.1002,45.9995,24.7414,3.9569,0.5117
180,0.0017,0.1035,3.2000,29.1775,25.9776,46.0382,24.7843,3.9789,0.5159
192,0.0004,0.0983,3.1010,28.8892,25.7882,46.1002,25.0106,4.1184,0.5455
204,0.0000,0.1003,3.1839,29.2788,26.0949,45.7987,24.9225,3.9885,0.5209
216,0.0004,0.1089,3.2289,29.3112,26.0823,46.2036,24.4852,3.9360,0.5136
228,0.0007,0.0925,3.1456,29.1949,26.0493,46.0462,24.7590,4.0132,0.5503
240,0.0000,0.0905,3.0975,29.0515,25.9540,46.1174,24.8311,3.9831,0.5250
252,0.0000,0.0983,3.1210,29.0057,25.8847,46.0438,24.9506,4.1313,0.5633
264,0.0004,0.1007,3.1519,28.9794,25.8275,46.0768,24.9438,4.0721,0.5439
276,0.0002,0.0854,3.0339,28.9270,25.8931,45.9621,25.1109,4.2948,0.6263
288,0.0007,0.1067,3.2276,29.2064,25.9788,46.1106,24.6830,3.8948,0.5026
300,0.0009,0.1038,3.1609,29.1942,26.0333,46.0073,24.7985,3.9187,0.4733
312,0.0011,0.1041,3.1471,29.1573,26.0102,45.8650,24.9777,4.0396,0.5571
324,0.0003,0.1074,3.2106,29.2316,26.0210,45.9483,24.8201,3.9916,0.5344
336,0.0015,0.1146,3.2577,29.3201,26.0624,46.0677,24.6122,3.9893,0.5257
348,0.0009,0.1001,3.0952,29.0276,25.9324,46.2636,24.7088,3.9398,0.5237
360,0.0001,0.0919,3.1816,29.1691,25.9874,45.7652,25.0657,4.2010,0.5763
372,0.0000,0.0909,3.1153,28.9835,25.8682,46.1941,24.8224,4.0754,0.5483
384,0.0010,0.1159,3.2531,29.2401,25.9870,45.7721,24.9878,3.9469,0.5012
396,0.0000,0.0851,3.1190,29.2256,26.1065,45.9543,24.8201,4.0271,0.5531
408,0.0000,0.0777,3.1085,29.0962,25.9877,45.8882,25.0156,4.0527,0.5230
