cycle,wealth_gini
0,0.6099
12,0.5842
24,0.5705
36,0.5693
48,0.5653
60,0.5677
72,0.5658
84,0.5636
96,0.5614
108,0.562
120,0.5633
132,0.5612
144,0.5635
156,0.5592
168,0.5625
180,0.5631
192,0.557
204,0.5563
216,0.5601
228,0.5611
240,0.5618
252,0.5601
264,0.5602
276,0.5601
288,0.5599
300,0.5622
312,0.5584
324,0.5599
336,0.5624
348,0.5621
360,0.5611
372,0.5621
384,0.5598
396,0.5563
408,0.5559
420,0.5564
432,0.5583
444,0.5576
456,0.56
468,0.5589
480,0.5598
492,0.5601
504,0.5588
516,0.5591
528,0.5588
540,0.5581
552,0.5604
564,0.5581
576,0.5579
588,0.5582
600,0.5571
612,0.5587
624,0.5577
636,0.5595
648,0.5603
660,0.5593
672,0.5583
684,0.5596
696,0.5597
708,0.5617
720,0.5565
732,0.5608
744,0.5593
756,0.5576
768,0.5596
780,0.5601
792,0.5616
804,0.5609
816,0.5576
828,0.5581
840,0.5571
852,0.5611
864,0.56
876,0.5599
888,0.5594
900,0.5584
912,0.5568
924,0.5594
936,0.5572
948,0.561
960,0.5571
972,0.5591
984,0.5595
996,0.5605
1008,0.5609
1020,0.5579
1032,0.5581
1044,0.5608
1056,0.5608
1068,0.5557
1080,0.5576
1092,0.5567
1104,0.5593
1116,0.559
1128,0.5623
1140,0.5607
1152,0.56
1164,0.5587
1176,0.561
1188,0.5589
1200,0.5607
