time,num_actors,gdp,transactions,min_transaction,max_transaction,projected_expenses,projected_revenue,collected_tax,tax_scale,tax_brackets,failed_tax,collected_vat,failed_vat,debt,total_gi_collector!,total_demurrage_collector!
0,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,0.0000,0.0000
12,10000,509822692.9034,105082,38.4447,137271.4120,250158240.0000,250697652.4170,250697652.4170,[1.3742] ,[(0..10190] - 0.0%] [(10190..15200] - 34.0%] [(15200..26830] - 55.00000000000001%] [(26830..46440] - 62.0%] [(46440..) - 69.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149400262.2192
24,10000,509840972.1324,98841,5.5119,110816.0154,250158240.0000,249579394.3235,249579394.3235,[1.3830] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 55.00000000000001%] [(26830..46440] - 62.0%] [(46440..) - 69.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149403389.7738
36,10000,509822331.0818,98183,1.1342,123546.0705,250158240.0000,250209039.9751,250209039.9751,[1.3897] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 56.00000000000001%] [(26830..46440] - 63.0%] [(46440..) - 69.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149441107.9970
48,10000,509838874.0285,97702,2.8652,106269.8333,250158240.0000,248860123.2932,248860123.2932,[1.3870] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 55.00000000000001%] [(26830..46440] - 62.0%] [(46440..) - 69.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149458989.5562
60,10000,509848361.1537,96557,2.0176,102672.6748,250158240.0000,248867980.2222,248867980.2222,[1.3869] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 55.00000000000001%] [(26830..46440] - 62.0%] [(46440..) - 69.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149474474.5069
72,10000,509817511.6146,96786,7.7810,91646.1104,250158240.0000,249168556.3047,249168556.3047,[1.3852] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 55.00000000000001%] [(26830..46440] - 62.0%] [(46440..) - 69.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149485782.2887
84,10000,509815077.0218,96591,1.6239,101743.6417,250158240.0000,249184638.3796,249184638.3796,[1.3852] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 55.00000000000001%] [(26830..46440] - 62.0%] [(46440..) - 69.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149498624.7670
96,10000,509844489.0762,95816,22.7799,96639.7481,250158240.0000,248837665.3831,248837665.3831,[1.3871] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 55.00000000000001%] [(26830..46440] - 62.0%] [(46440..) - 69.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149503507.0655
108,10000,509833588.2064,96082,0.1051,100031.0274,250158240.0000,249206242.4299,249206242.4299,[1.3850] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 55.00000000000001%] [(26830..46440] - 62.0%] [(46440..) - 69.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149503239.0093
