cycle,money_stock,total_wealth
0,576188734.7160,576188734.7160
12,576271869.0779,576271869.0779
24,576410902.8135,576410902.8135
36,576517886.4936,576517886.4936
48,576600208.2958,576600208.2958
60,576663553.2926,576663553.2926
72,576712295.9796,576712295.9796
84,576749802.5356,576749802.5356
96,576778663.0666,576778663.0666
108,576800870.6534,576800870.6534
120,576817958.9558,576817958.9558
132,576831108.0482,576831108.0482
144,576841226.0110,576841226.0110
156,576849011.5887,576849011.5887
168,576855002.4464,576855002.4464
180,576859612.2811,576859612.2811
192,576863159.4521,576863159.4521
204,576865888.9313,576865888.9313
216,576867989.2174,576867989.2174
228,576869605.3380,576869605.3380
240,576870848.9139,576870848.9139
252,576871805.8285,576871805.8285
264,576872542.1567,576872542.1567
276,576873108.7205,576873108.7205
288,576873544.7041,576873544.7041
300,576873880.1776,576873880.1776
312,576874138.3144,576874138.3144
324,576874336.9338,576874336.9338
336,576874489.7920,576874489.7920
348,576874607.4012,576874607.4012
360,576874697.9053,576874697.9053
372,576874767.5557,576874767.5557
384,576874821.1365,576874821.1365
396,576874862.3718,576874862.3718
408,576874894.0837,576874894.0837
420,576874918.4951,576874918.4951
432,576874937.2889,576874937.2889
444,576874951.7429,576874951.7429
456,576874962.8715,576874962.8715
468,576874971.4203,576874971.4203
480,576874978.0076,576874978.0076
492,576874983.0889,576874983.0889
504,576874987.0006,576874987.0006
516,576874989.9940,576874989.9940
528,576874992.3055,576874992.3055
540,576874994.0749,576874994.0749
552,576874995.4448,576874995.4448
564,576874996.4891,576874996.4891
576,576874997.2979,576874997.2979
588,576874997.9279,576874997.9279
600,576874998.3996,576874998.3996
612,576874998.7765,576874998.7765
624,576874999.0550,576874999.0550
636,576874999.2714,576874999.2714
648,576874999.4229,576874999.4229
660,576874999.5498,576874999.5498
672,576874999.6457,576874999.6457
684,576874999.7235,576874999.7235
696,576874999.7943,576874999.7943
708,576874999.8302,576874999.8302
720,576874999.8660,576874999.8660
732,576874999.8925,576874999.8925
744,576874999.9031,576874999.9031
756,576874999.9231,576874999.9231
768,576874999.9519,576874999.9519
780,576874999.9779,576874999.9779
792,576874999.9895,576874999.9895
804,576874999.9927,576874999.9927
816,576874999.9953,576874999.9953
828,576874999.9883,576874999.9883
840,576874999.9915,576874999.9915
852,576875000.0088,576875000.0088
864,576875000.0003,576875000.0003
876,576875000.0009,576875000.0009
888,576874999.9952,576874999.9952
900,576875000.0105,576875000.0105
912,576875000.0003,576875000.0003
924,576875000.0074,576875000.0074
936,576875000.0122,576875000.0122
948,576875000.0110,576875000.0110
960,576875000.0140,576875000.0140
972,576875000.0212,576875000.0212
984,576875000.0026,576875000.0026
996,576874999.9969,576874999.9969
1008,576875000.0130,576875000.0130
1020,576875000.0099,576875000.0099
1032,576875000.0046,576875000.0046
1044,576875000.0017,576875000.0017
1056,576875000.0030,576875000.0030
1068,576874999.9999,576874999.9999
1080,576874999.9850,576874999.9850
1092,576874999.9948,576874999.9948
1104,576874999.9928,576874999.9928
1116,576874999.9854,576874999.9854
1128,576874999.9901,576874999.9901
1140,576874999.9794,576874999.9794
1152,576874999.9827,576874999.9827
1164,576874999.9904,576874999.9904
1176,576874999.9781,576874999.9781
1188,576874999.9826,576874999.9826
1200,576874999.9894,576874999.9894
