time,num_actors,gdp,transactions,min_transaction,max_transaction,collected_tax,failed_tax,collected_vat,failed_vat,debt,total_gi,total_demurrage
228,10000,509825888.6127,77233,429.9696,53634.3012,0.0000,0,0.0000,0,423036.0000,149526000.0000,149524383.8794
240,10000,509822283.4411,76599,418.2747,55406.1454,0.0000,0,0.0000,0,423036.0000,149526000.0000,149524756.4241
252,10000,509849548.7762,76292,616.2132,58827.5754,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525043.0854
264,10000,509841126.9046,76581,650.8226,56357.0017,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525263.6718
276,10000,509893657.2019,76903,586.5436,50847.1037,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525433.4362
288,10000,509833792.4769,77100,541.9411,50803.5496,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525564.0164
300,10000,509825614.8025,76373,530.6437,52165.0128,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525664.5265
312,10000,509824264.0871,76261,572.1165,51905.0692,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525741.8632
324,10000,509844128.9446,76526,557.3742,51326.9407,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525801.3806
336,10000,509833693.0613,76053,480.3954,55743.3190,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525847.1418
348,10000,509848254.5978,75662,575.8848,49340.1420,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525882.3908
360,10000,509817865.0566,75924,633.1662,52931.4413,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525909.4959
372,10000,509829988.8525,75821,610.0807,49212.7072,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525930.3496
384,10000,509835590.1932,75652,471.8893,52760.0484,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525946.4192
396,10000,509837582.1853,75856,645.9131,52259.9101,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525958.7647
408,10000,509841648.5529,76055,520.8276,48979.1238,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525968.2881
420,10000,509857749.5675,75824,441.1243,59925.7897,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525975.5886
432,10000,509860068.4649,76016,482.4363,53061.6623,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525981.2062
444,10000,509820076.1099,76152,595.9963,55245.0206,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525985.5460
456,10000,509837691.5545,76576,600.7787,69722.5085,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525988.8714
468,10000,509831390.2737,76469,616.6281,52166.6501,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525991.4512
480,10000,509838430.4909,76224,449.1505,51437.1138,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525993.4127
492,10000,509854284.6352,76404,485.2280,53587.1934,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525994.9187
504,10000,509875765.9935,76258,558.3574,50621.8742,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525996.0883
516,10000,509830051.2618,75698,592.0338,54707.7799,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525997.0066
528,10000,509863139.4243,76170,556.9436,53545.9448,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525997.6885
540,10000,509829503.2414,75952,480.7764,50916.0784,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525998.2306
552,10000,509824307.9664,76293,567.0952,54730.4490,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525998.6301
564,10000,509834950.9582,76622,484.4309,51836.6823,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525998.9557
576,10000,509850462.1734,76550,532.9028,48323.8534,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.1912
588,10000,509859455.2844,76483,499.6748,53646.0405,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.3700
600,10000,509841843.9663,75984,396.2612,53749.4154,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.5283
612,10000,509817959.1477,76257,511.7646,56583.4133,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.6231
624,10000,509853553.3403,76880,556.4787,50329.2325,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.7215
636,10000,509858369.0919,76745,631.2107,55421.4609,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.7836
648,10000,509857709.3637,76199,483.5600,53851.1294,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.8485
660,10000,509844361.9348,75663,588.6958,52433.7621,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.8731
672,10000,509847473.7873,75693,502.9293,54202.9703,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9041
684,10000,509854533.3082,75701,599.7513,48357.9392,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9222
696,10000,509863259.5116,76089,505.6185,51389.9783,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9292
708,10000,509872850.6109,76499,565.9993,55191.0345,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9641
720,10000,509861641.5071,76262,429.9116,59034.1327,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9642
732,10000,509850273.2908,76098,641.3699,60665.5124,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9735
744,10000,509863954.3676,76015,486.1779,62387.2887,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9894
756,10000,509820682.5026,75913,633.1114,52362.8049,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9800
768,10000,509865826.1589,76274,553.1473,64997.3538,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9712
780,10000,509859265.0372,76410,542.1851,59233.4745,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9740
792,10000,509866186.7669,76455,601.7821,51368.3446,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9884
804,10000,509857566.0007,76385,530.9785,56960.4241,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9968
816,10000,509851640.6551,76083,595.9351,50912.0629,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9974
828,10000,509840493.9645,76362,588.6498,52639.9656,0.0000,0,0.0000,0,423036.0000,149526000.0000,149526000.0070
840,10000,509839758.3947,76452,579.8314,58771.8518,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9968
852,10000,509840784.5940,76316,587.4093,55058.6768,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9827
864,10000,509802295.8213,77143,500.1804,53613.6558,0.0000,0,0.0000,0,423036.0000,149526000.0000,149526000.0085
876,10000,509826523.3248,76678,555.3340,54089.2769,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9994
888,10000,509843773.4421,76336,405.3721,60326.2970,0.0000,0,0.0000,0,423036.0000,149526000.0000,149526000.0057
900,10000,509855068.7208,76601,514.1296,59997.9198,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9847
912,10000,509876114.8039,76467,487.2479,54781.8750,0.0000,0,0.0000,0,423036.0000,149526000.0000,149526000.0102
924,10000,509869327.6405,75907,560.0231,55999.5637,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9929
936,10000,509894889.5884,75925,470.2555,52657.8566,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9952
948,10000,509839390.0446,76236,579.0515,51388.4224,0.0000,0,0.0000,0,423036.0000,149526000.0000,149526000.0012
960,10000,509838510.0277,76352,553.9466,53989.2736,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9970
972,10000,509839268.5897,76157,436.2761,53365.0383,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9928
984,10000,509845220.7780,75966,291.1619,46780.8524,0.0000,0,0.0000,0,423036.0000,149526000.0000,149526000.0186
996,10000,509863824.4877,75980,575.6355,46427.6479,0.0000,0,0.0000,0,423036.0000,149526000.0000,149526000.0057
1008,10000,509837486.9368,76495,546.5435,50891.2875,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9839
1020,10000,509853341.1259,75648,581.5079,54756.6296,0.0000,0,0.0000,0,423036.0000,149526000.0000,149526000.0031
1032,10000,509852287.0897,76140,487.1494,50241.4706,0.0000,0,0.0000,0,423036.0000,149526000.0000,149526000.0053
1044,10000,509855091.9011,76126,551.2797,54181.1450,0.0000,0,0.0000,0,423036.0000,149526000.0000,149526000.0029
1056,10000,509841999.6967,76382,561.6150,51283.7492,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9987
1068,10000,509844775.7233,76135,449.2770,56903.7487,0.0000,0,0.0000,0,423036.0000,149526000.0000,149526000.0031
1080,10000,509831469.3414,76393,580.3141,48974.1237,0.0000,0,0.0000,0,423036.0000,149526000.0000,149526000.0149
1092,10000,509834126.9696,76250,546.8925,54091.2061,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9902
1104,10000,509844204.2031,75776,534.3549,55540.7706,0.0000,0,0.0000,0,423036.0000,149526000.0000,149526000.0020
1116,10000,509851042.7692,76432,511.7430,55746.5577,0.0000,0,0.0000,0,423036.0000,149526000.0000,149526000.0074
1128,10000,509836330.0853,76166,526.3834,51819.7760,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9953
1140,10000,509860295.3170,76712,502.4797,52691.5779,0.0000,0,0.0000,0,423036.0000,149526000.0000,149526000.0107
1152,10000,509853640.2960,76423,595.0754,62165.6848,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9967
1164,10000,509833334.6973,76081,557.5565,52250.5263,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9923
1176,10000,509860082.5208,76337,595.5188,56558.5604,0.0000,0,0.0000,0,423036.0000,149526000.0000,149526000.0123
1188,10000,509876453.9336,76149,472.5196,53486.9801,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9955
1200,10000,509864090.8194,76150,490.3164,59199.3671,0.0000,0,0.0000,0,423036.0000,149526000.0000,149525999.9932
