time,num_actors,gdp,transactions,min_transaction,max_transaction,collected_tax,failed_tax,collected_vat,failed_vat,debt,total_gi,total_demurrage
0,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000,0.0000,0.0000
12,10000,467358071.0614,95355,36.2382,154689.4912,0.0000,0,0.0000,0,423036.0000,149526000.0000,149442865.6381
24,10000,509815769.0850,94526,399.1678,115758.5633,0.0000,0,0.0000,0,423036.0000,149526000.0000,149386966.2644
36,10000,509833395.0160,88368,410.2024,120594.8165,0.0000,0,0.0000,0,423036.0000,149526000.0000,149419016.3199
48,10000,509847070.8832,84497,472.4761,105377.8216,0.0000,0,0.0000,0,423036.0000,149526000.0000,149443678.1978
60,10000,509831011.8180,81606,478.6052,160148.2007,0.0000,0,0.0000,0,423036.0000,149526000.0000,149462655.0032
72,10000,509832868.7058,80143,537.7194,65936.9982,0.0000,0,0.0000,0,423036.0000,149526000.0000,149477257.3130
84,10000,509845285.9152,78921,568.0065,76204.4398,0.0000,0,0.0000,0,423036.0000,149526000.0000,149488493.4440
96,10000,509822889.0837,78609,515.3840,60211.2748,0.0000,0,0.0000,0,423036.0000,149526000.0000,149497139.4690
108,10000,509849963.8291,77625,466.2798,71675.6259,0.0000,0,0.0000,0,423036.0000,149526000.0000,149503792.4132
120,10000,509852433.8929,76947,568.5172,51571.0071,0.0000,0,0.0000,0,423036.0000,149526000.0000,149508911.6976
132,10000,509846487.9403,76672,647.2972,51736.0055,0.0000,0,0.0000,0,423036.0000,149526000.0000,149512850.9076
144,10000,509813491.3715,76457,602.6260,68869.3061,0.0000,0,0.0000,0,423036.0000,149526000.0000,149515882.0372
156,10000,509842989.5322,76382,512.2314,52246.3490,0.0000,0,0.0000,0,423036.0000,149526000.0000,149518214.4223
168,10000,509887716.9504,76475,587.6942,50030.5230,0.0000,0,0.0000,0,423036.0000,149526000.0000,149520009.1423
180,10000,509836382.2017,76313,470.7831,61334.4633,0.0000,0,0.0000,0,423036.0000,149526000.0000,149521390.1653
192,10000,509865397.0547,76638,571.1604,54651.0516,0.0000,0,0.0000,0,423036.0000,149526000.0000,149522452.8290
204,10000,509839086.4151,76413,462.9765,56730.5538,0.0000,0,0.0000,0,423036.0000,149526000.0000,149523270.5208
216,10000,509847780.0818,76696,418.4338,53215.7544,0.0000,0,0.0000,0,423036.0000,149526000.0000,149523899.7139
