cycle,money_stock
0,576188734.7160
12,576314958.9824
24,576439924.1746
36,576531747.9417
48,576605280.9910
60,576660868.3371
72,576706192.3723
84,576739578.1333
96,576765285.6318
108,576784360.0410
120,576801558.0827
132,576816146.6580
144,576825533.8493
156,576832923.9241
168,576838394.8552
180,576843580.5707
192,576846659.8521
204,576850059.8403
216,576852226.7197
228,576852517.0345
240,576851706.4454
252,576853658.8736
264,576855182.5664
276,576856526.5841
288,576857526.0032
300,576856067.5877
312,576852894.7945
324,576852627.4983
336,576852813.7075
348,576853445.3926
360,576854588.9388
372,576854212.3868
384,576854344.9480
396,576853908.4970
408,576851621.4345
420,576852615.9841
432,576853539.0697
444,576853002.2919
456,576853734.9782
468,576855348.2470
480,576856781.8928
492,576857288.9674
504,576857020.6244
516,576856115.8180
528,576856459.7228
540,576854850.2436
552,576855648.0726
564,576857288.2672
576,576857036.5518
588,576853420.4001
600,576852204.6841
612,576854624.7805
624,576855083.4082
636,576854122.4107
648,576855296.8116
660,576855264.2303
672,576854447.9422
684,576852235.9249
696,576851930.4918
708,576852528.2438
720,576853232.2520
732,576854724.5314
744,576853885.2215
756,576856083.8811
768,576855278.5055
780,576851211.2212
792,576853204.6547
804,576856057.9055
816,576854540.5983
828,576850044.9797
840,576851243.5839
852,576855231.4020
864,576857986.4798
876,576855707.3795
888,576852536.3494
900,576854554.8439
912,576855365.2243
924,576857117.8153
936,576859158.8838
948,576858075.3336
960,576852873.9776
972,576853534.6779
984,576855900.8739
996,576854919.1046
1008,576852089.4099
1020,576850602.2932
1032,576851354.3914
1044,576851826.9617
1056,576854712.4888
1068,576856520.2512
1080,576856921.1326
1092,576855154.0932
1104,576854722.4721
1116,576857631.4143
1128,576856527.2671
1140,576854413.8683
1152,576854295.9325
1164,576855014.8556
1176,576855212.0856
1188,576858334.2735
1200,576859072.2106
