cycle,income_gini
0,NaN
12,0.2836
24,0.2076
36,0.1965
48,0.2004
60,0.2
72,0.2016
84,0.2025
96,0.1999
108,0.2009
120,0.2005
132,0.1987
144,0.2042
156,0.1981
168,0.1972
180,0.2036
192,0.1978
204,0.2005
216,0.1996
228,0.2049
240,0.2009
252,0.1989
264,0.198
276,0.2007
288,0.2003
300,0.2053
312,0.2033
324,0.1983
336,0.2029
348,0.2027
360,0.2032
372,0.1996
384,0.2006
396,0.2036
408,0.2014
420,0.2003
432,0.2031
444,0.203
456,0.1999
468,0.2061
480,0.2032
492,0.203
504,0.2048
516,0.2007
528,0.1992
540,0.2032
552,0.202
564,0.2035
576,0.2004
588,0.2024
600,0.2029
612,0.2008
624,0.2012
636,0.2037
648,0.2022
660,0.2024
672,0.2003
684,0.1984
696,0.2054
708,0.2012
720,0.2008
732,0.2005
744,0.1957
756,0.2036
768,0.2027
780,0.2026
792,0.2027
804,0.2016
816,0.2025
828,0.199
840,0.1994
852,0.2053
864,0.201
876,0.1999
888,0.2009
900,0.1996
912,0.201
924,0.2024
936,0.2033
948,0.2036
960,0.201
972,0.2021
984,0.1992
996,0.2029
1008,0.2007
1020,0.2022
1032,0.2018
1044,0.2016
1056,0.1987
1068,0.2013
1080,0.2018
1092,0.1994
1104,0.198
1116,0.2016
1128,0.2025
1140,0.2026
1152,0.2021
1164,0.2007
1176,0.203
1188,0.1997
1200,0.2013
