cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,-0.0167,-0.1669,-0.0302,7.6615,7.6916,40.1626,52.1759,14.9696,3.5104
12,-0.0167,-0.1669,-0.0925,5.0204,5.1129,37.7741,57.2055,16.9812,4.0326
24,-0.0167,-0.1669,-0.1459,2.3490,2.4949,33.0461,64.6049,20.0661,4.8057
36,-0.0167,-0.1669,-0.1628,0.8173,0.9801,25.8893,73.2935,24.7560,5.8036
48,-0.0167,-0.1669,-0.1664,0.1206,0.2869,16.7438,83.1356,31.7694,7.0781
60,-0.0167,-0.1669,-0.1668,-0.1238,0.0430,8.0369,92.0869,42.9472,9.2390
72,-0.0167,-0.1669,-0.1669,-0.1650,0.0018,2.0836,98.0814,60.6707,13.3389
84,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.1416,100.0252,84.8484,20.7361
96,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0006,100.1663,98.8228,43.3230
108,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1593,79.9535
120,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,99.9500
132,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
144,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
156,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
168,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
180,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
192,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
204,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
216,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
228,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
240,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
252,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
264,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
276,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
288,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
300,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
312,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
324,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
336,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
348,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
360,-0.0167,-0.1669,-0.1669,-0.1668,0.0000,0.0000,100.1668,100.1668,100.1668
