time,num_actors,gdp,transactions,min_transaction,max_transaction,collected_tax,failed_tax,collected_vat,failed_vat,debt
0,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
12,10000,467352261.9775,119259,4.0172,177727.3413,0.0000,0,0.0000,0,423036.0000
24,10000,509843030.8804,160604,0.5601,201198.4695,0.0000,0,0.0000,0,423036.0000
36,10000,509863970.3061,199031,0.0355,559654.5322,0.0000,0,0.0000,0,423036.0000
48,10000,509922354.3884,254165,0.0029,267051.7832,0.0000,0,0.0000,0,423036.0000
60,10000,510148570.0907,328733,0.0001,423826.5595,0.0000,0,0.0000,0,423036.0000
72,10000,510448700.8597,454102,0.0001,607655.0279,0.0000,0,0.0000,0,423036.0000
84,10000,509971652.8532,653483,0.0001,1122388.3687,0.0000,0,0.0000,0,423036.0000
96,10000,510301415.6054,955205,0.0001,1340657.4966,0.0000,0,0.0000,0,423036.0000
108,10000,510101354.8006,1199284,0.0001,2273325.6146,0.0000,0,0.0000,0,423036.0000
120,10000,513800298.4349,1062470,0.0001,4087767.3733,0.0000,0,0.0000,0,423036.0000
132,10000,523182989.0019,616510,0.0001,10064925.0118,0.0000,0,0.0000,0,423036.0000
144,10000,563198773.1881,171248,0.0001,28246443.9054,0.0000,0,0.0000,0,423036.0000
156,10000,516606909.1017,50664,0.0001,23546604.8217,0.0000,0,0.0000,0,423036.0000
168,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
180,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
192,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
204,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
216,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
228,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
240,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
252,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
264,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
276,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
288,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
300,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
312,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
324,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
336,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
348,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
360,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
372,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
384,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
396,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
408,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0,0.0000,0,423036.0000
