cycle,income_gini
0,NaN
12,0.2836
24,0.2435
36,0.2197
48,0.2315
60,0.2326
72,0.2311
84,0.2303
96,0.2303
108,0.2313
120,0.225
132,0.2313
144,0.2294
156,0.2297
168,0.2296
180,0.2239
192,0.2297
204,0.2292
216,0.2306
228,0.2299
240,0.2268
252,0.225
264,0.2301
276,0.2322
288,0.2316
300,0.2295
312,0.2246
324,0.228
336,0.2237
348,0.2327
360,0.2304
372,0.2322
384,0.2296
396,0.231
408,0.2315
420,0.2313
432,0.2321
444,0.233
456,0.2321
468,0.2378
480,0.2338
492,0.2346
504,0.236
516,0.2302
528,0.2337
540,0.2378
552,0.2371
564,0.2335
576,0.2392
588,0.2403
600,0.2417
612,0.2394
624,0.2413
636,0.2441
648,0.2409
660,0.2417
672,0.2518
684,0.2455
696,0.2482
708,0.2529
720,0.2481
732,0.2506
744,0.249
756,0.25
768,0.2496
780,0.2532
792,0.2548
804,0.2542
816,0.2655
828,0.2579
840,0.2571
852,0.2575
864,0.2616
876,0.2592
888,0.2583
900,0.2597
912,0.2646
924,0.2672
936,0.2695
948,0.2651
960,0.267
972,0.2717
984,0.273
996,0.2767
1008,0.2762
1020,0.2809
1032,0.2752
1044,0.2777
1056,0.2785
1068,0.2734
1080,0.2784
1092,0.2804
1104,0.2781
1116,0.2856
1128,0.2846
1140,0.2852
1152,0.2994
1164,0.2977
1176,0.285
1188,0.2903
1200,0.2856
