cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,-0.0167,-0.1669,-0.0302,7.6615,7.6916,40.1626,52.1759,14.9696,3.5104
12,0.0132,0.1834,2.8789,24.3029,21.4240,43.3023,32.3949,8.4007,1.9125
24,0.0151,0.2174,3.4516,28.9466,25.4950,46.8416,24.2118,4.9521,1.0563
36,0.0169,0.2298,3.6646,30.5279,26.8633,48.0977,21.3744,3.3707,0.5647
48,0.0181,0.2396,3.7335,31.0239,27.2904,48.6496,20.3265,2.8267,0.3759
60,0.0193,0.2498,3.7423,31.2603,27.5181,48.5512,20.1885,2.7064,0.3305
72,0.0178,0.2386,3.7250,31.1173,27.3923,48.6177,20.2649,2.7243,0.3306
84,0.0190,0.2433,3.7089,31.0810,27.3722,48.8315,20.0875,2.6678,0.3208
96,0.0170,0.2361,3.6886,30.8925,27.2039,48.9246,20.1829,2.6992,0.3222
108,0.0186,0.2382,3.6501,30.8522,27.2021,48.8682,20.2796,2.7313,0.3209
120,0.0178,0.2369,3.6575,30.8666,27.2091,48.9231,20.2103,2.6673,0.3163
132,0.0194,0.2389,3.6210,30.7925,27.1715,48.7660,20.4415,2.6633,0.3177
144,0.0160,0.2258,3.6178,30.6597,27.0419,48.8794,20.4609,2.7581,0.3370
156,0.0175,0.2372,3.6375,30.5344,26.8969,48.7897,20.6759,2.7395,0.3254
168,0.0179,0.2348,3.6241,30.6616,27.0375,48.6715,20.6669,2.8400,0.3354
180,0.0163,0.2219,3.5476,30.3861,26.8385,48.8042,20.8097,2.8346,0.3416
192,0.0164,0.2210,3.4994,30.2125,26.7131,48.9087,20.8788,2.8217,0.3368
204,0.0155,0.2209,3.5067,30.1792,26.6725,49.0704,20.7504,2.7954,0.3468
216,0.0169,0.2270,3.5367,30.2229,26.6862,48.9195,20.8576,2.8342,0.3410
228,0.0147,0.2159,3.4815,30.0107,26.5292,48.9855,21.0037,2.8652,0.3508
240,0.0159,0.2167,3.4930,30.0727,26.5796,48.9906,20.9368,2.8890,0.3600
252,0.0156,0.2115,3.4320,29.8428,26.4108,49.0987,21.0585,2.8793,0.3512
264,0.0140,0.2122,3.4176,29.7192,26.3016,48.9351,21.3457,2.9635,0.3564
276,0.0141,0.2079,3.4332,29.5337,26.1005,49.1847,21.2816,2.8782,0.3382
288,0.0158,0.2134,3.4199,29.7331,26.3133,49.0906,21.1763,2.9211,0.3623
300,0.0130,0.1991,3.3644,29.3578,25.9934,49.1865,21.4557,2.9101,0.3444
