cycle,money_stock
0,576188734.7160
12,576316294.5000
24,576445087.2941
36,576544190.7798
48,576620448.9266
60,576679128.0347
72,576724280.4326
84,576759024.3225
96,576785759.0336
108,576806330.8556
120,576822160.4583
132,576834341.0354
144,576843713.7570
156,576850925.8604
168,576856475.4140
180,576860745.7023
192,576864031.6046
204,576866560.0731
216,576868505.6498
228,576870002.7367
240,576871154.7112
252,576872041.1285
264,576872723.2146
276,576873248.0480
288,576873651.9124
300,576873962.6773
312,576874201.7789
324,576874385.7847
336,576874527.3731
348,576874636.3035
360,576874720.1391
372,576874784.6582
384,576874834.3009
396,576874872.4909
408,576874901.8913
420,576874924.5017
432,576874941.9032
444,576874955.3082
456,576874965.6138
468,576874973.5453
480,576874979.6424
492,576874984.3223
504,576874987.9387
516,576874990.7194
528,576874992.8640
540,576874994.5172
552,576874995.7885
564,576874996.7447
576,576874997.4945
588,576874998.0726
600,576874998.5198
612,576874998.8695
624,576874999.1284
636,576874999.3382
648,576874999.4901
660,576874999.6148
672,576874999.6948
684,576874999.7756
696,576874999.8189
708,576874999.8632
720,576874999.8851
732,576874999.9227
744,576874999.9402
756,576874999.9634
768,576874999.9735
780,576874999.9881
792,576874999.9788
804,576874999.9846
816,576874999.9937
828,576874999.9771
840,576874999.9784
852,576874999.9969
864,576875000.0015
876,576875000.0073
888,576874999.9958
900,576874999.9890
912,576874999.9893
924,576874999.9840
936,576874999.9848
948,576874999.9755
960,576874999.9763
972,576874999.9922
984,576874999.9935
996,576875000.0013
1008,576874999.9945
1020,576874999.9976
1032,576874999.9832
1044,576874999.9882
1056,576874999.9887
1068,576874999.9957
1080,576875000.0015
1092,576874999.9702
1104,576874999.9755
1116,576874999.9862
1128,576875000.0005
1140,576874999.9903
1152,576874999.9808
1164,576875000.0020
1176,576874999.9914
1188,576874999.9978
1200,576875000.0006
