cycle,wealth_gini
0,0.6099
12,0.3962
24,0.3091
36,0.2782
48,0.2677
60,0.2651
72,0.2667
84,0.2659
96,0.2685
108,0.2696
120,0.2691
132,0.2712
144,0.2729
156,0.2749
168,0.2734
180,0.2775
192,0.2794
204,0.2794
216,0.2791
228,0.2824
240,0.2812
252,0.2844
264,0.2872
276,0.2886
288,0.286
300,0.2916
312,0.2913
324,0.2917
336,0.2907
348,0.2939
360,0.2956
372,0.2979
384,0.2992
396,0.2995
408,0.3016
420,0.3078
432,0.3062
444,0.3095
456,0.3102
468,0.3164
480,0.3129
492,0.3102
504,0.3128
516,0.3143
528,0.3164
540,0.317
552,0.321
564,0.3226
576,0.3261
588,0.3246
600,0.3271
612,0.3287
624,0.3315
636,0.3329
648,0.3324
660,0.3345
672,0.3357
684,0.3355
696,0.34
708,0.3382
720,0.3414
732,0.3442
744,0.3455
756,0.3506
768,0.3511
780,0.3511
792,0.3538
804,0.3543
816,0.3566
828,0.3571
840,0.3586
852,0.3599
864,0.3614
876,0.3652
888,0.3681
900,0.3655
912,0.3654
924,0.373
936,0.3731
948,0.3733
960,0.3785
972,0.3783
984,0.381
996,0.3822
1008,0.3838
1020,0.383
1032,0.3851
1044,0.3896
1056,0.3888
1068,0.3895
1080,0.3929
1092,0.3949
1104,0.3973
1116,0.4001
1128,0.4009
1140,0.4048
1152,0.4099
1164,0.4057
1176,0.4071
1188,0.4112
1200,0.4123
