time,num_actors,gdp,transactions,min_transaction,max_transaction,projected_expenses,projected_revenue,collected_tax,tax_scale,tax_brackets,failed_tax,collected_vat,failed_vat,debt
0,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000
12,10000,509826052.9529,95796,20.2368,141947.8219,203073522.9320,250697652.4170,250697652.4170,[1.3742] ,[(0..10190] - 0.0%] [(10190..15200] - 34.0%] [(15200..26830] - 55.00000000000001%] [(26830..46440] - 62.0%] [(46440..) - 69.0%] ,0,58236617.0680,0,525743155.0000
24,10000,509834388.5849,81234,13.4192,113313.9540,230924169.8910,194699598.5461,194699598.5461,[1.4126] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 56.99999999999999%] [(26830..46440] - 64.0%] [(46440..) - 71.0%] ,0,30385970.1090,0,561967726.3449
36,10000,509842045.2784,75890,20.3290,128390.4635,230923292.0422,220821280.1760,220821280.1760,[1.4158] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 56.99999999999999%] [(26830..46440] - 64.0%] [(46440..) - 71.0%] ,0,30386847.9578,0,572069738.2111
48,10000,509846275.4554,74176,3.3100,113363.5555,230923630.3267,220722004.3005,220722004.3005,[1.4112] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 56.00000000000001%] [(26830..46440] - 64.0%] [(46440..) - 71.0%] ,0,30386509.6733,0,582271364.2373
60,10000,509845643.3405,71721,0.9568,139381.9718,230923465.2047,220736945.2288,220736945.2288,[1.4111] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 56.00000000000001%] [(26830..46440] - 64.0%] [(46440..) - 71.0%] ,0,30386674.7953,0,592457884.2132
72,10000,509841803.3812,70353,0.1205,105810.6967,230923131.7950,218572572.8349,218572572.8349,[1.4086] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 56.00000000000001%] [(26830..46440] - 63.0%] [(46440..) - 70.0%] ,0,30387008.2050,0,604808443.1733
84,10000,509821852.9445,68190,29.8216,137056.0478,230924854.9846,219581339.5636,219581339.5636,[1.4110] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 56.00000000000001%] [(26830..46440] - 63.0%] [(46440..) - 71.0%] ,0,30385285.0154,0,616151958.5943
96,10000,509829594.1326,66900,12.3631,114683.5902,230924331.3942,218397955.6080,218397955.6080,[1.4095] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 56.00000000000001%] [(26830..46440] - 63.0%] [(46440..) - 70.0%] ,0,30385808.6058,0,628678334.3805
108,10000,509825163.7314,65306,7.5644,148764.5224,230924732.6496,219733460.5678,219733460.5678,[1.4103] ,[(0..10190] - 0.0%] [(10190..15200] - 35.0%] [(15200..26830] - 56.00000000000001%] [(26830..46440] - 63.0%] [(46440..) - 71.0%] ,0,30385407.3504,0,639869606.4623
