cycle,wealth_gini
0,0.6099
12,0.4046
24,0.3178
36,0.2848
48,0.2771
60,0.272
72,0.272
84,0.2711
96,0.2693
108,0.2695
120,0.2681
132,0.2693
144,0.2701
156,0.2681
168,0.2686
180,0.2713
192,0.2697
204,0.2689
216,0.2682
228,0.2722
240,0.2711
252,0.2684
264,0.2676
276,0.2678
288,0.2704
300,0.2701
312,0.2703
324,0.2712
336,0.27
348,0.2698
360,0.2686
372,0.2701
384,0.2705
396,0.2706
408,0.2718
420,0.2703
432,0.2688
444,0.2698
456,0.271
468,0.2676
480,0.2698
492,0.271
504,0.2705
516,0.2686
528,0.2704
540,0.2703
552,0.2696
564,0.2676
576,0.2725
588,0.2708
600,0.2684
612,0.2711
624,0.272
636,0.2737
648,0.271
660,0.2723
672,0.2695
684,0.2714
696,0.27
708,0.2714
720,0.2697
732,0.2689
744,0.2703
756,0.2696
768,0.2687
780,0.2679
792,0.27
804,0.2699
816,0.2719
828,0.2702
840,0.2705
852,0.2696
864,0.2701
876,0.2669
888,0.2683
900,0.2671
912,0.2687
924,0.2671
936,0.2685
948,0.2683
960,0.2673
972,0.2703
984,0.2719
996,0.2686
1008,0.2694
1020,0.2706
1032,0.2682
1044,0.268
1056,0.268
1068,0.2684
1080,0.2708
1092,0.2698
1104,0.2701
1116,0.2696
1128,0.2702
1140,0.2702
1152,0.269
1164,0.2678
1176,0.2687
1188,0.2702
1200,0.2677
