cycle,money_stock
0,576188734.7160
12,576314956.2805
24,576444057.5719
36,576543398.4121
48,576619839.1963
60,576678658.8618
72,576723919.4094
84,576758746.5170
96,576785545.2698
108,576806166.3713
120,576822033.8984
132,576834243.6493
144,576843638.8028
156,576850868.1958
168,576856431.0701
180,576860711.5652
192,576864005.3300
204,576866539.8227
216,576868490.0567
228,576869990.7194
240,576871145.4698
252,576872034.0072
264,576872717.7290
276,576873243.8390
288,576873648.6621
300,576873960.1787
312,576874199.8842
324,576874384.3313
336,576874526.2537
348,576874635.4875
360,576874719.5264
372,576874784.1888
384,576874833.9296
396,576874872.2070
408,576874901.6676
420,576874924.3364
432,576874941.7836
444,576874955.1897
456,576874965.5190
468,576874973.4560
480,576874979.5761
492,576874984.3074
504,576874987.9194
516,576874990.6990
528,576874992.8334
540,576874994.4818
552,576874995.7550
564,576874996.7277
576,576874997.4852
588,576874998.0609
600,576874998.4977
612,576874998.8362
624,576874999.1099
636,576874999.3205
648,576874999.4668
660,576874999.5868
672,576874999.6733
684,576874999.7440
696,576874999.7890
708,576874999.8387
720,576874999.8643
732,576874999.8954
744,576874999.9183
756,576874999.9270
768,576874999.9512
780,576874999.9674
792,576874999.9531
804,576874999.9673
816,576874999.9726
828,576874999.9614
840,576874999.9496
852,576874999.9810
864,576874999.9818
876,576874999.9829
888,576874999.9840
900,576874999.9912
912,576874999.9932
924,576874999.9949
936,576874999.9884
948,576875000.0014
960,576874999.9994
972,576875000.0190
984,576875000.0033
996,576875000.0092
1008,576874999.9994
1020,576875000.0009
1032,576874999.9835
1044,576874999.9838
1056,576874999.9915
1068,576874999.9929
1080,576874999.9942
1092,576874999.9916
1104,576874999.9942
1116,576874999.9928
1128,576875000.0030
1140,576875000.0072
1152,576875000.0001
1164,576874999.9950
1176,576874999.9748
1188,576874999.9842
1200,576874999.9775
