cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,-0.0167,-0.1669,-0.0302,7.6615,7.6916,40.1626,52.1759,14.9696,3.5104
12,0.0131,0.1759,2.7602,23.6815,20.9213,43.5010,32.8176,8.4811,1.9879
24,0.0151,0.2167,3.3609,28.3779,25.0170,46.8241,24.7980,4.9617,1.0816
36,0.0168,0.2257,3.5416,30.0578,26.5163,48.2657,21.6765,3.3618,0.5888
48,0.0174,0.2270,3.5879,30.4167,26.8288,48.7114,20.8719,2.9021,0.3695
60,0.0170,0.2334,3.6649,30.7678,27.1029,48.6698,20.5624,2.7877,0.3383
72,0.0170,0.2435,3.6608,30.7258,27.0650,48.7742,20.5000,2.7681,0.3267
84,0.0180,0.2362,3.6171,30.7631,27.1461,48.9000,20.3368,2.7156,0.3168
96,0.0161,0.2269,3.6554,30.9168,27.2614,48.7356,20.3476,2.7190,0.3309
108,0.0177,0.2362,3.6750,30.9176,27.2426,48.6801,20.4023,2.7317,0.3206
120,0.0181,0.2350,3.7291,30.9986,27.2695,48.5904,20.4109,2.7116,0.3263
132,0.0161,0.2339,3.6779,30.8717,27.1938,48.8646,20.2636,2.7152,0.3313
144,0.0170,0.2354,3.6794,30.7508,27.0714,49.0205,20.2288,2.7158,0.3270
156,0.0165,0.2309,3.7209,30.9909,27.2700,48.6473,20.3617,2.7140,0.3403
168,0.0173,0.2413,3.7060,31.0075,27.3015,48.6525,20.3400,2.6906,0.3172
180,0.0163,0.2315,3.6694,30.7677,27.0983,48.7438,20.4885,2.7707,0.3380
192,0.0177,0.2371,3.6939,30.8558,27.1619,48.7958,20.3485,2.6773,0.3259
204,0.0185,0.2348,3.6474,30.9276,27.2801,48.8329,20.2396,2.6777,0.3086
216,0.0173,0.2376,3.7314,30.9854,27.2540,48.6969,20.3177,2.7199,0.3279
228,0.0158,0.2295,3.6780,30.6840,27.0060,48.8373,20.4787,2.7349,0.3252
240,0.0177,0.2391,3.6801,30.7936,27.1134,48.7198,20.4866,2.6878,0.3154
252,0.0174,0.2364,3.7236,30.9712,27.2476,48.7140,20.3148,2.7499,0.3503
264,0.0168,0.2374,3.7133,31.0041,27.2907,48.7594,20.2365,2.6880,0.3178
276,0.0156,0.2282,3.6241,30.9402,27.3160,48.9672,20.0926,2.6798,0.3330
288,0.0177,0.2420,3.6466,30.8052,27.1586,48.8817,20.3130,2.7278,0.3242
300,0.0167,0.2326,3.6977,30.8746,27.1769,48.7610,20.3644,2.7064,0.3292
312,0.0169,0.2316,3.6851,30.8440,27.1589,48.7419,20.4140,2.7730,0.3307
324,0.0171,0.2347,3.6466,30.7283,27.0817,48.9455,20.3262,2.7065,0.3109
336,0.0176,0.2407,3.6774,30.7836,27.1061,48.9573,20.2592,2.7019,0.3162
348,0.0180,0.2420,3.7187,30.8861,27.1674,48.6902,20.4237,2.7404,0.3250
360,0.0159,0.2267,3.6443,30.9517,27.3074,48.8010,20.2473,2.7280,0.3286
372,0.0169,0.2364,3.6821,30.8738,27.1917,48.6921,20.4342,2.7378,0.3219
384,0.0170,0.2332,3.6161,30.8498,27.2336,48.7577,20.3926,2.7262,0.3235
396,0.0165,0.2386,3.6797,30.8616,27.1818,48.6228,20.5156,2.7755,0.3345
408,0.0161,0.2359,3.6782,30.7015,27.0234,48.8494,20.4491,2.7745,0.3282
420,0.0177,0.2410,3.6973,30.8316,27.1343,48.7731,20.3953,2.7160,0.3272
432,0.0167,0.2364,3.6844,30.9686,27.2842,48.7424,20.2890,2.7257,0.3368
444,0.0175,0.2405,3.7054,30.8757,27.1703,48.7267,20.3977,2.7227,0.3290
456,0.0171,0.2400,3.6974,30.7897,27.0923,48.7763,20.4340,2.7339,0.3385
468,0.0182,0.2357,3.6965,31.0345,27.3379,48.7117,20.2538,2.7271,0.3229
480,0.0182,0.2413,3.7108,30.8359,27.1251,48.8076,20.3565,2.6852,0.3155
492,0.0175,0.2347,3.6821,30.7620,27.0798,48.8837,20.3543,2.6932,0.3075
504,0.0168,0.2375,3.6788,30.8593,27.1805,48.6648,20.4759,2.7056,0.3205
516,0.0156,0.2278,3.6626,30.9889,27.3263,48.6600,20.3511,2.7000,0.3159
528,0.0168,0.2336,3.6517,30.7856,27.1339,48.8722,20.3422,2.7312,0.3257
540,0.0177,0.2345,3.6504,30.7848,27.1344,49.0030,20.2122,2.7017,0.3243
552,0.0173,0.2360,3.6816,30.9222,27.2406,48.7099,20.3679,2.7482,0.3426
564,0.0179,0.2427,3.6937,31.0405,27.3468,48.6882,20.2713,2.7305,0.3204
576,0.0170,0.2338,3.6425,30.6640,27.0216,48.8991,20.4369,2.7432,0.3283
588,0.0182,0.2388,3.6722,30.7629,27.0906,48.8382,20.3989,2.7332,0.3124
600,0.0175,0.2355,3.6959,30.9914,27.2955,48.6585,20.3501,2.7546,0.3350
612,0.0178,0.2362,3.6522,30.7700,27.1178,48.8816,20.3485,2.7454,0.3437
624,0.0176,0.2408,3.6370,30.7574,27.1204,48.7083,20.5343,2.7889,0.3391
636,0.0175,0.2266,3.6030,30.5746,26.9715,48.9290,20.4965,2.7522,0.3401
648,0.0171,0.2363,3.6711,30.8163,27.1452,48.7472,20.4366,2.7624,0.3442
660,0.0158,0.2358,3.6667,30.7171,27.0504,48.7131,20.5698,2.7527,0.3292
672,0.0183,0.2417,3.7038,30.8919,27.1882,48.7760,20.3321,2.7185,0.3314
684,0.0164,0.2266,3.6330,30.7665,27.1335,48.8193,20.4142,2.7244,0.3288
696,0.0158,0.2420,3.7235,30.8761,27.1526,48.7054,20.4186,2.7457,0.3335
708,0.0173,0.2346,3.6535,30.7199,27.0664,48.9266,20.3535,2.7062,0.3281
720,0.0165,0.2345,3.6767,30.9001,27.2233,48.6686,20.4313,2.7162,0.3220
732,0.0179,0.2357,3.7088,30.9244,27.2156,48.7844,20.2912,2.7713,0.3431
744,0.0162,0.2334,3.6538,30.8123,27.1585,48.8503,20.3374,2.7166,0.3381
756,0.0172,0.2282,3.6444,30.8792,27.2347,48.8116,20.3092,2.7180,0.3335
768,0.0168,0.2343,3.6968,30.9356,27.2389,48.7677,20.2966,2.7435,0.3435
780,0.0177,0.2374,3.6687,31.0159,27.3472,48.7477,20.2364,2.7260,0.3345
792,0.0158,0.2288,3.6593,30.8563,27.1970,48.7255,20.4182,2.7398,0.3278
804,0.0173,0.2390,3.6475,30.8931,27.2456,48.7207,20.3862,2.7405,0.3316
816,0.0164,0.2324,3.6458,30.7086,27.0628,48.8450,20.4464,2.7614,0.3310
828,0.0174,0.2356,3.7066,30.8669,27.1603,48.7129,20.4202,2.7441,0.3251
840,0.0175,0.2356,3.6704,30.8392,27.1688,48.6857,20.4752,2.7206,0.3180
852,0.0172,0.2351,3.6576,30.9306,27.2730,48.6771,20.3923,2.7296,0.3237
864,0.0174,0.2359,3.6418,30.8751,27.2333,48.7851,20.3398,2.7261,0.3255
876,0.0167,0.2374,3.7226,31.0567,27.3341,48.7353,20.2080,2.7117,0.3213
888,0.0167,0.2375,3.7234,31.0446,27.3211,48.5270,20.4284,2.7106,0.3147
900,0.0176,0.2322,3.7118,31.0604,27.3486,48.6608,20.2787,2.6888,0.3159
912,0.0167,0.2331,3.6527,30.9434,27.2908,48.8268,20.2297,2.6803,0.3324
924,0.0181,0.2338,3.7023,31.0469,27.3446,48.7522,20.2009,2.6947,0.3185
936,0.0191,0.2424,3.7298,30.9734,27.2436,48.7084,20.3182,2.7110,0.3250
948,0.0176,0.2349,3.6951,30.9982,27.3031,48.6668,20.3350,2.7294,0.3250
960,0.0162,0.2298,3.6852,31.0914,27.4062,48.6430,20.2656,2.6869,0.3103
