cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
996,0.0000,0.0668,2.4060,28.2733,25.8673,50.1190,21.6076,2.9526,0.3518
1008,0.0000,0.0605,2.4132,27.9561,25.5429,50.5007,21.5432,2.9340,0.3542
1020,0.0000,0.0656,2.4225,28.3011,25.8786,50.0355,21.6634,3.0003,0.3778
1032,0.0000,0.0582,2.4918,28.1324,25.6406,50.3973,21.4703,2.9549,0.3616
1044,0.0000,0.0693,2.4867,28.2788,25.7921,50.1735,21.5477,2.9697,0.3810
1056,0.0000,0.0689,2.4167,28.0107,25.5940,50.2891,21.7002,2.9424,0.3614
1068,0.0000,0.0615,2.3581,28.1018,25.7438,50.3163,21.5818,3.0043,0.3582
1080,0.0000,0.0582,2.4321,27.9655,25.5335,50.2071,21.8274,3.0149,0.3807
1092,0.0000,0.0729,2.4087,28.0761,25.6674,50.3095,21.6145,2.9563,0.3594
1104,0.0000,0.0591,2.3868,28.0731,25.6863,50.2785,21.6484,2.9574,0.3562
1116,0.0000,0.0724,2.4490,28.3329,25.8839,50.1772,21.4899,2.9464,0.3654
1128,0.0000,0.0655,2.4134,27.9182,25.5048,50.3216,21.7602,3.0399,0.3762
1140,0.0000,0.0598,2.4302,28.1610,25.7308,50.1590,21.6800,2.9380,0.3532
1152,0.0000,0.0645,2.4476,28.0893,25.6417,50.2615,21.6492,3.0021,0.3693
1164,0.0000,0.0682,2.4354,28.1079,25.6725,50.2109,21.6813,2.9726,0.3647
1176,0.0000,0.0676,2.4346,28.0732,25.6386,50.0814,21.8454,3.0627,0.4044
1188,0.0000,0.0701,2.4491,28.1376,25.6886,50.4175,21.4449,2.9000,0.3702
1200,0.0000,0.0692,2.4054,28.0949,25.6894,50.3778,21.5273,2.9475,0.3460
